n_rebal,cagr_pct,vol_pct,sharpe,mdd_pct,hit_rate,v_on_pct,label,period,mcap,regime
49,17.71,10.68,1.564,-9.87,65.3,4.1,Dual-tv_top_25-only_volatile,OOS_2016_2019,tv_top_25,only_volatile
76,17.44,21.1,0.779,-25.18,53.9,27.6,Dual-tv_top_25-only_volatile,IS_2020_2025,tv_top_25,only_volatile
13,-14.33,19.78,-0.775,-25.18,38.5,30.8,Dual-tv_top_25-only_volatile,BEAR_2022,tv_top_25,only_volatile
7,25.36,16.74,1.456,0.0,57.1,14.3,Dual-tv_top_25-only_volatile,BEAR_2018_Q4,tv_top_25,only_volatile
49,18.65,22.56,0.782,-34.65,59.2,100.0,Dual-tv_top_25-none,OOS_2016_2019,tv_top_25,none
76,17.49,32.01,0.515,-48.77,55.3,100.0,Dual-tv_top_25-none,IS_2020_2025,tv_top_25,none
13,-42.86,33.25,-1.319,-48.77,38.5,100.0,Dual-tv_top_25-none,BEAR_2022,tv_top_25,none
7,21.64,28.52,0.724,-4.8,42.9,100.0,Dual-tv_top_25-none,BEAR_2018_Q4,tv_top_25,none
52,12.52,12.23,0.942,-14.43,55.8,3.8,Dual-tv_top_50-only_volatile,OOS_2016_2019,tv_top_50,only_volatile
77,18.77,22.35,0.795,-24.59,51.9,27.3,Dual-tv_top_50-only_volatile,IS_2020_2025,tv_top_50,only_volatile
13,-15.52,19.67,-0.84,-24.59,38.5,30.8,Dual-tv_top_50-only_volatile,BEAR_2022,tv_top_50,only_volatile
6,46.5,12.72,3.577,0.0,50.0,16.7,Dual-tv_top_50-only_volatile,BEAR_2018_Q4,tv_top_50,only_volatile
52,20.37,21.07,0.919,-31.41,63.5,100.0,Dual-tv_top_50-none,OOS_2016_2019,tv_top_50,none
77,11.37,31.38,0.33,-44.15,57.1,100.0,Dual-tv_top_50-none,IS_2020_2025,tv_top_50,none
13,-37.7,30.24,-1.28,-43.73,38.5,100.0,Dual-tv_top_50-none,BEAR_2022,tv_top_50,none
6,96.16,16.73,5.687,0.0,66.7,100.0,Dual-tv_top_50-none,BEAR_2018_Q4,tv_top_50,none
52,12.39,12.1,0.941,-14.43,55.8,3.8,Dual-tv_top_75-only_volatile,OOS_2016_2019,tv_top_75,only_volatile
77,17.85,21.75,0.775,-25.13,53.2,27.3,Dual-tv_top_75-only_volatile,IS_2020_2025,tv_top_75,only_volatile
13,-14.89,20.2,-0.787,-25.13,38.5,30.8,Dual-tv_top_75-only_volatile,BEAR_2022,tv_top_75,only_volatile
6,46.5,12.72,3.577,0.0,50.0,16.7,Dual-tv_top_75-only_volatile,BEAR_2018_Q4,tv_top_75,only_volatile
52,19.12,18.91,0.958,-28.36,61.5,100.0,Dual-tv_top_75-none,OOS_2016_2019,tv_top_75,none
77,14.22,30.42,0.435,-41.96,58.4,100.0,Dual-tv_top_75-none,IS_2020_2025,tv_top_75,none
13,-34.56,29.78,-1.194,-41.96,38.5,100.0,Dual-tv_top_75-none,BEAR_2022,tv_top_75,none
6,90.95,15.91,5.653,0.0,66.7,100.0,Dual-tv_top_75-none,BEAR_2018_Q4,tv_top_75,none
52,12.27,11.98,0.941,-14.43,55.8,3.8,Dual-all-only_volatile,OOS_2016_2019,all,only_volatile
77,20.5,18.97,1.028,-17.52,55.8,28.6,Dual-all-only_volatile,IS_2020_2025,all,only_volatile
13,5.68,23.08,0.203,-15.06,38.5,38.5,Dual-all-only_volatile,BEAR_2022,all,only_volatile
6,46.5,12.72,3.577,0.0,50.0,16.7,Dual-all-only_volatile,BEAR_2018_Q4,all,only_volatile
52,18.13,19.13,0.895,-27.56,59.6,100.0,Dual-all-none,OOS_2016_2019,all,none
77,22.94,26.54,0.827,-29.65,59.7,100.0,Dual-all-none,IS_2020_2025,all,none
13,-7.16,28.68,-0.284,-28.29,38.5,100.0,Dual-all-none,BEAR_2022,all,none
6,95.42,15.21,6.208,0.0,66.7,100.0,Dual-all-none,BEAR_2018_Q4,all,none
