year,n_months,port_gross_pct,port_net_pct,twii_price_pct,twii_tr_pct,avg_turnover,alpha_net_vs_tr
2015,12,-14.42,-16.08,-10.94,-8.0,0.391,-8.08
2016,12,0.76,-0.53,10.98,14.89,0.271,-15.42
2017,12,32.0,29.83,15.01,19.06,0.354,10.77
2018,12,-10.74,-11.96,-8.6,-5.32,0.287,-6.64
2019,12,34.84,32.06,23.33,27.64,0.449,4.42
2020,12,46.07,39.54,22.8,27.1,1.041,12.44
2021,12,90.25,89.48,23.66,27.99,0.095,61.49
2022,12,-9.64,-11.47,-22.4,-19.57,0.428,8.1
2023,12,45.23,43.32,26.83,31.25,0.298,12.07
2024,12,11.48,10.39,28.47,32.94,0.208,-22.55
2025,12,-4.76,-7.0,25.74,30.13,0.493,-37.13
2026,4,15.94,15.09,29.84,31.27,0.459,-16.18
