config,period,gross_cagr,net_cagr,twii_tr_cagr,alpha_net
mom3m_top3sec,Pre-AI 2016-2022,23.06,15.42,11.65,3.77
mom3m_top3sec,AI era 2023-2025,12.3,4.08,31.43,-27.36
mom3m_top3sec,Full 2016-2025,19.73,11.9,17.25,-5.35
mom3m_top5sec,Pre-AI 2016-2022,19.86,15.64,11.65,3.99
mom3m_top5sec,AI era 2023-2025,13.15,9.96,31.43,-21.47
mom3m_top5sec,Full 2016-2025,17.81,13.9,17.25,-3.35
mom6m_top3sec,Pre-AI 2016-2022,27.51,23.32,11.65,11.67
mom6m_top3sec,AI era 2023-2025,5.85,2.01,31.43,-29.42
mom6m_top3sec,Full 2016-2025,20.58,16.5,17.25,-0.75
mom6m_top5sec,Pre-AI 2016-2022,20.81,18.0,11.65,6.35
mom6m_top5sec,AI era 2023-2025,14.58,12.04,31.43,-19.4
mom6m_top5sec,Full 2016-2025,18.91,16.18,17.25,-1.07
mom12m_top3sec,Pre-AI 2016-2022,21.13,17.78,11.65,6.12
mom12m_top3sec,AI era 2023-2025,11.54,9.33,31.43,-22.1
mom12m_top3sec,Full 2016-2025,18.17,15.18,17.25,-2.07
mom12m_top5sec,Pre-AI 2016-2022,21.99,19.67,11.65,8.02
mom12m_top5sec,AI era 2023-2025,15.53,13.74,31.43,-17.7
mom12m_top5sec,Full 2016-2025,20.01,17.86,17.25,0.61
