year,n_rebal,dual_gross_pct,dual_net_pct,val_gross,val_net,qm_gross,qm_net,twii_price_pct,twii_tr_pct,avg_val_turnover,avg_qm_turnover,alpha_net_vs_tr,alpha_gross_vs_price
2016,13,6.91,5.48,0.0,0.0,13.89,10.88,20.34,24.56,0.0,0.522,-19.08,-13.43
2017,13,16.23,13.84,0.0,0.0,33.92,28.53,20.13,24.34,0.0,0.803,-10.5,-3.9
2018,13,-0.86,-2.66,8.23,6.97,-8.3,-11.14,-8.6,-5.32,0.308,0.673,2.66,7.74
2019,13,28.2,24.6,0.0,0.0,61.43,52.66,30.18,34.72,0.0,1.121,-10.12,-1.98
2020,13,22.72,18.72,23.0,21.18,18.92,12.92,25.24,29.63,0.372,0.992,-10.91,-2.52
2021,13,69.22,63.24,46.39,44.4,88.86,78.02,14.33,18.36,0.358,1.137,44.88,54.89
2022,13,5.33,1.55,4.82,2.65,4.33,-1.04,-13.38,-10.26,0.512,1.004,11.81,18.71
2023,12,10.27,7.3,6.94,6.33,12.89,7.45,11.14,14.75,0.167,1.023,-7.45,-0.87
2024,13,8.43,4.22,5.88,3.94,9.83,3.27,43.55,48.52,0.473,1.156,-44.3,-35.12
2025,13,14.97,10.79,-11.5,-12.64,43.27,34.68,13.5,17.5,0.32,1.17,-6.71,1.47
