period,horizon,n_events,n_weeks,Q1_low_pct,Q2_pct,Q3_pct,Q4_pct,Q5_high_pct,spread_Q5_Q1,ic_spearman,ic_tstat
Full 2021-2025,5d,230322,227,-0.072,-0.034,-0.053,-0.104,-0.09,-0.019,-0.0348,-5.37
Full 2021-2025,20d,230322,227,-0.179,-0.235,-0.143,-0.289,-0.174,0.005,-0.0458,-6.59
Full 2021-2025,40d,230322,227,-0.214,-0.493,-0.566,-0.677,-0.528,-0.314,-0.0625,-8.45
Full 2021-2025,60d,230322,227,-0.144,-0.692,-0.901,-1.133,-0.981,-0.837,-0.0739,-10.15
Pre-AI 2021-2022,5d,81607,84,0.334,0.289,0.221,0.116,0.084,-0.25,-0.0492,-3.92
Pre-AI 2021-2022,20d,81607,84,1.068,0.735,0.888,0.507,0.414,-0.654,-0.0664,-4.46
Pre-AI 2021-2022,40d,81607,84,2.582,1.948,1.92,1.352,0.924,-1.657,-0.0913,-5.94
Pre-AI 2021-2022,60d,81607,84,4.147,3.11,2.523,1.752,0.762,-3.385,-0.1181,-8.18
AI era 2023-2025,5d,148715,143,-0.294,-0.212,-0.204,-0.224,-0.186,0.108,-0.0264,-3.7
AI era 2023-2025,20d,148715,143,-0.864,-0.767,-0.709,-0.726,-0.497,0.367,-0.0337,-5.13
AI era 2023-2025,40d,148715,143,-1.748,-1.832,-1.93,-1.79,-1.324,0.424,-0.0455,-6.35
AI era 2023-2025,60d,148715,143,-2.499,-2.778,-2.779,-2.717,-1.937,0.561,-0.048,-6.8
