quarter_end,n_total,top_ret_3m,bot_ret_3m,n_top_ret_3m,n_bot_ret_3m,top_ret_6m,bot_ret_6m,n_top_ret_6m,n_bot_ret_6m,top_ret_12m,bot_ret_12m,n_top_ret_12m,n_bot_ret_12m
2016-12-31,1571,0.02764200470145682,0.006918105999187125,301,498,0.11098028293365378,0.09257480294961086,301,498,0.1837474813324343,0.21159081223668197,301,498
2017-03-31,1581,0.08207888787435647,0.08196002653120288,305,516,0.09591635281837196,0.10700181089559127,305,516,0.18059073506008158,0.23519449349139412,305,516
2017-06-30,1599,0.019277880389802764,0.012671661619708396,311,533,0.04936688098740544,0.08921405654161468,311,533,0.03391296283339041,0.040090838724696654,310,531
2017-09-30,1603,0.024560833180214077,0.0574569860841761,309,559,0.04714381961810682,0.09760338407998463,308,559,-0.06159445138593582,-0.05112225330492202,308,557
2017-12-31,1614,0.022458862611532213,0.023829857468194215,483,466,-0.02308285578767699,-0.03802984240760571,483,466,0.028918065202556593,-0.014846349608878238,483,464
2018-03-31,1620,-0.059998624135383156,-0.09362469526633914,478,458,-0.09148521283132954,-0.1340081317416052,478,457,0.021687586523220597,-0.07637071874750663,478,456
2018-06-30,1629,-0.032751741412438064,-0.05604344205677643,488,452,0.062469525424542274,0.019709308731794193,488,452,0.15473033357849236,0.06540243481141174,488,451
2018-09-30,1631,0.1010544138282051,0.08606363737357584,496,447,0.1309447285577425,0.0782781765867609,496,447,0.27050765653190834,0.1813762101492244,496,446
2018-12-31,1640,0.008169176080249356,-0.022209642692728186,501,445,0.08984806444047833,0.03890222676456519,501,445,-0.07759750161470721,-0.17663679233685917,501,444
2019-03-31,1646,0.08610913219237282,0.041576234572301474,509,440,0.13391641409688315,0.07194161361724292,509,440,0.17984580429453326,0.1986044445812435,509,439
2019-06-30,1655,0.04094908859949114,0.021687117894670118,541,428,-0.15975221803737036,-0.2063547806080836,541,428,0.10950950836286176,0.26166734054895113,541,427
2019-09-30,1657,-0.19690345527022673,-0.2248500690526361,561,417,0.042643383046871305,0.11009625814295515,561,417,0.20137623753632675,0.3646453683320307,561,416
2019-12-31,1669,0.25784771641951393,0.30695359503065456,560,392,0.3825654806965123,0.537452768928079,560,392,0.7409044814204492,0.8977434542050993,560,391
2020-03-31,1675,0.11217382975801182,0.22362142837997362,569,388,0.18302311971902321,0.28260293946379417,569,388,0.5270781061338776,0.5667806296262689,569,387
2020-06-30,1686,0.06710068501676142,0.058906923034805644,588,400,0.2420727316076011,0.2181178703302919,588,400,0.3932989810097477,0.2742101164411593,588,399
2020-09-30,1688,0.1372111102755305,0.125203501618993,598,392,0.2518818499937398,0.17906856008091374,598,392,0.3524934598042236,0.27026420423871456,598,391
2020-12-31,1712,0.08794429432355222,0.04029698646481873,577,413,0.12706251175440894,0.10992657180982542,577,413,0.20963034310802114,0.1847766874322862,577,412
2021-03-31,1714,0.04887857244296565,0.05390338874930773,574,423,0.11147895373734241,0.2003923199554066,574,423,0.03408401320552991,0.09527430293397633,574,422
2021-06-30,1724,0.04349976655902011,0.09285450721892065,559,447,0.07175130997453186,0.09974427801647222,559,447,0.010766250513617659,0.09817268832510206,559,446
2021-09-30,1724,0.02373638332455143,0.01889379230230981,546,453,-0.03923144013088723,-0.01622138106663975,546,453,-0.0297144334749745,0.013592249288494722,546,452
2021-12-31,1731,-0.028007663735109517,0.008471488974414475,508,468,0.00390806672441658,0.0829012516278549,508,468,0.1000405242500256,0.13784719550577293,508,467
2022-03-31,1736,0.008931312657267794,0.048668703806359986,513,485,0.004502456474036317,0.01638875498564548,513,485,0.2303180303125934,0.27009916069417395,513,484
2022-06-30,1751,-0.012319411445727997,-0.03408001386355681,516,455,0.1083917972545721,0.061733973582206614,516,454,0.24682571883398127,0.18588827397190968,516,453
2022-09-30,1760,0.10260636151192656,0.07818484929740946,540,435,0.23187714169499554,0.2318167224663194,540,433,0.32397959000921484,0.319738099603282,540,432
2022-12-31,1779,0.14251326094947434,0.12802349103811264,576,423,0.1853042419103367,0.11137007106171581,576,422,0.3914490616699629,0.34348161101844044,576,421
2023-03-31,1790,0.045233771412952976,-0.006591459421504343,583,419,0.10715619066494805,0.07435380105744265,583,418,0.3224916477104981,0.3231378247095181,583,417
2023-06-30,1822,0.06686870395685127,0.08993954660757761,610,413,0.16486575271072385,0.1842834184275993,610,412,0.31735899065100076,0.3433185452231169,610,410
2023-09-30,1829,0.08429122235647436,0.08851045228546962,626,404,0.19557828395825064,0.25507031164786576,626,403,0.18822913435515337,0.20758943002201433,626,399
2023-12-31,1861,0.12181909749418131,0.14871040304980407,636,413,0.13355489678345156,0.17090461244786456,636,412,0.07836266878539905,0.05949651930140546,636,407
2024-03-31,1871,0.013986974938584895,0.02071783860068054,636,418,0.0072772302579053524,-0.014093193735042546,636,414,-0.03720179547223997,-0.08507075560408223,636,412
2024-06-30,1886,-0.006591797296463018,-0.046813023615500125,637,425,-0.008509184167378227,-0.05212955660343272,637,425,0.0448703927440239,-0.064443597976717,637,422
2024-09-30,1887,0.04210794461189089,0.022621329841142915,645,413,-0.03296197255232609,-0.05703408045650574,645,413,0.07888927581113094,0.015741301873140788,645,410
2024-12-31,1904,-0.0695065910285455,-0.0786670109531876,634,439,0.010430086968988577,-0.03299523817112786,634,439,0.09002825457591454,0.021770297579105785,634,434
