quarter_end,n_total,top_ret_3m,bot_ret_3m,n_top_ret_3m,n_bot_ret_3m,top_ret_6m,bot_ret_6m,n_top_ret_6m,n_bot_ret_6m,top_ret_12m,bot_ret_12m,n_top_ret_12m,n_bot_ret_12m
2010-12-31,963,-0.05734237451353098,-0.041984839013484834,67,376,-0.021950164903634998,0.014700227387135835,67,376,0.034451327567238337,0.020718213672181962,67,376
2011-03-31,1028,-0.04770243201702476,-0.040859574604590845,95,402,-0.012319439786634271,0.019979420225109887,95,402,0.029936501732313055,0.02994769459478643,95,402
2011-06-30,1065,-0.05382701517626642,-0.040512587663769084,106,427,-0.020262956060295902,0.03327965025331611,106,427,0.02105316037208393,0.03893230286906402,106,427
2011-09-30,1084,-0.053252517764284475,-0.03466773764905976,129,431,-0.016973151445402117,0.04109121999229132,129,431,0.03416571296527061,0.04785711673920787,129,430
2011-12-31,1102,-0.04161995045334018,-0.03605634851436037,198,334,-0.00530483387768938,0.04444278102927534,198,334,0.03707714758120907,0.03638870881581658,198,333
2012-03-31,1108,-0.03694271393557864,-0.031856471612562866,232,317,-0.001559063109801025,0.049454490801361474,232,317,0.04472554342881773,0.037822577446693664,232,317
2012-06-30,1114,-0.03856239281180352,-0.038213826278440576,232,296,-0.00018682728347959042,0.044809509422497874,232,296,0.04602935773344862,0.03322247391522914,232,296
2012-09-30,1117,-0.04030751180745764,-0.040570548039744844,263,281,-0.0030552988431613985,0.041881099021245094,263,281,0.037764199182269795,0.035028250789181425,263,281
2012-12-31,1134,-0.050336421733675314,-0.04494503957564509,299,229,-0.014882348680444317,0.024055883538711756,299,229,0.017008145685952974,0.011091005560886035,299,229
2013-03-31,1145,-0.04569444975069581,-0.0399768035387215,323,212,-0.0019663609728235018,0.01920251398784163,323,212,0.02927262848179965,-0.0037601025179513086,322,212
2013-06-30,1152,-0.04616298731461961,-0.042044869198315654,319,210,0.00016096410834689635,0.01189717722201928,319,210,0.03296391412320487,-0.0015458836327517254,318,210
