quarter_end,n_total,top_ret_3m,bot_ret_3m,n_top_ret_3m,n_bot_ret_3m,top_ret_6m,bot_ret_6m,n_top_ret_6m,n_bot_ret_6m,top_ret_12m,bot_ret_12m,n_top_ret_12m,n_bot_ret_12m
2016-12-31,18,-0.03280239991246792,-0.026038989332585638,1,6,0.034364190734672784,0.1835493413301881,1,6,0.2593718921091732,0.27597139724349407,1,6
2017-03-31,18,0.06924161839146037,0.14850517143964423,2,6,0.18973937948723385,0.2677301153501578,2,6,0.4734309698078222,0.3438459069030539,2,6
2017-06-30,18,0.11550754855371992,0.0734231593975685,2,9,0.19206637107062197,0.13478369847304975,2,9,0.4602638956822661,0.08657913184381937,2,8
2017-09-30,18,0.062391610896919136,-0.009729819530757286,1,8,0.2305023547226719,0.015470827118864938,1,8,0.2744982805629672,-0.03581253976220241,1,7
2017-12-31,18,0.0527462749777739,0.033448254625053464,4,8,0.16103525603024182,-0.004064299377436784,4,8,0.0669482042115325,-0.03176624170044435,4,7
2018-03-31,18,0.07540509383059155,0.000109604774755396,5,7,-0.028209285161317953,-0.051823636866230295,5,6,0.01765155317570919,0.017869613568163006,5,6
2018-06-30,18,-0.11836811822322642,-0.029267787276111828,5,6,-0.07454888367018242,0.017895983489236118,5,6,-0.05799682179196084,0.02512085667224791,5,6
2018-09-30,17,0.07184024891268896,0.079006769207891,3,3,0.08925040049599182,0.06317806803309911,3,3,0.15988220254328697,0.11722615681859556,3,3
2018-12-31,17,0.0017714360633337793,-0.025029982104607384,3,4,0.016592145047013968,-0.0361266706975808,3,4,-0.06081240694013568,-0.15015107284996446,3,4
2019-03-31,17,0.02928758172854884,0.018910063567266794,3,4,0.06515973059531033,0.098336665043981,3,4,0.005878588051353069,0.019320691450568556,3,4
2019-06-30,17,0.057554557696058106,0.08252526425390812,2,3,-0.19413792445615663,-0.10205850714062899,2,3,-0.104545292591193,0.1763666598406394,2,3
2019-09-30,17,-0.22022888311363564,-0.16012091402582193,2,3,-0.11237919013610809,-0.07845842524340844,2,3,-0.12214695696048661,0.3555743533513431,2,3
2019-12-31,17,0.08031723232071741,0.12702898939485188,2,3,0.07445130866537752,0.3684421708758116,2,3,0.10435136383158278,0.9670718565534727,2,3
2020-03-31,17,0.03439076705257812,0.17830629074149845,3,4,0.0725332119267313,0.2923455130970538,3,4,0.13548309684779838,0.6982355320892882,3,4
2020-06-30,17,0.05873700687877811,0.09683678749612619,3,5,0.11813525133740461,0.38975975218072756,3,5,0.15666242065246103,0.5474501646650938,3,5
2020-09-30,17,0.05441188736752295,0.19975266709037542,4,4,0.11099903274204731,0.6325662063692321,4,4,0.1632128443827351,0.4278359969756874,4,4
2020-12-31,17,0.01413825515148992,0.32432278436143996,4,5,0.059711569804122344,0.2187740982531689,4,5,0.1645534273987529,0.23205352285614472,4,5
2021-03-31,17,0.03701918212155997,-0.04138384599992673,3,6,0.0707212424316143,-0.02374475893379378,3,6,0.11315448716597125,-0.11363006611258686,3,6
2021-06-30,17,0.027265336137502927,0.03641858583952012,3,6,0.10603378500507284,0.07830481936405571,3,6,-0.04906278996920532,-0.16719722636251255,3,6
2021-09-30,17,0.10992968946987336,0.04193404634623778,2,7,0.0861665316593484,-0.08246028245261149,2,7,-0.09032813443259835,-0.1545438054969461,2,7
2021-12-31,17,-0.004808292340005164,-0.07969943275332773,3,7,-0.05235846659296162,-0.11471755839331724,3,7,-0.14818633659838024,-0.10244670785839538,3,7
2022-03-31,17,-0.046873273276022365,-0.053925413929870124,2,7,-0.1671539859085856,-0.08838617040559298,2,7,-0.0684504693688715,0.17324169943118115,2,7
2022-06-30,17,-0.10888477181360517,-0.03859060511475004,2,4,-0.12243714886560719,0.0495574609768816,2,4,0.1356775355087395,0.2580829302942881,2,4
2022-09-30,17,-0.0250661905998813,-0.04217686020706694,2,3,0.13413704708505048,0.034806651302438874,2,3,0.35343357492753225,0.15877109260407118,2,3
2022-12-31,18,0.20579706310941792,0.13470918530121945,1,4,0.37681168457541947,0.4496196836255797,1,4,0.4318841620363416,0.4843258201815392,1,4
2023-03-31,18,0.15550229334571042,0.0994828828202186,1,3,0.1124401709908247,0.15151971571205292,1,3,0.31087617929457245,0.4832705300192454,1,3
2023-06-30,18,0.11033581120766105,0.04186370745236283,3,8,0.23185367541028645,0.12282439493483666,3,8,0.44956879972237807,0.3720197861601546,3,8
2023-09-30,18,0.13021027447038247,0.12440624577497715,2,8,0.4148874057416181,0.3387647728187699,2,8,0.5262418193066772,0.3189261971443071,2,8
2023-12-31,18,0.1949291867770698,0.19034619403947545,3,8,0.14817481791997222,0.12295042761755073,3,8,0.3609986407888604,0.07379494379429222,3,8
2024-03-31,18,-0.03334842614441994,-0.05524286172946416,3,9,0.053256701555914034,-0.07260692553605096,3,9,0.07316343472776354,-0.14680126067734783,3,9
2024-06-30,18,0.08829000029139437,-0.014243005131452782,3,8,0.19496964258203028,0.011974539692129332,3,8,0.19536011431232947,0.014876016830984135,3,8
2024-09-30,18,0.10819357576588096,0.025795401412379126,3,9,0.025560389251062115,-0.08601519222139634,3,9,0.11453315670968582,0.07685165555026822,3,9
2024-12-31,18,-0.03337248198175785,-0.12180396785200819,2,8,0.029121405557928304,-0.03170431694728773,2,8,0.026667356053873548,0.2484260233634233,2,8
