date,ret,n_stocks,regime,source,in_market,mean_pe,mean_pb,mean_fscore,cum_ret,year
2020-01-03,,0,neutral,dual_qmonly,True,,,,,2020
2020-01-31,0.014354062182612815,0,neutral,dual_qmonly,True,,,,1.0143540621826128,2020
2020-02-27,-0.0753033591325966,0,ranging,dual_qmonly,True,,,,0.9379697939504673,2020
2020-03-27,,0,volatile,dual_both,True,,,,,2020
2020-04-24,0.02285684680822532,0,volatile,dual_both,True,,,,0.9594088258415358,2020
2020-05-22,,0,neutral,dual_qmonly,True,,,,,2020
2020-06-19,,0,volatile,dual_both,True,,,,,2020
2020-07-17,,0,trending,dual_qmonly,True,,,,,2020
2020-08-14,,0,trending,dual_qmonly,True,,,,,2020
2020-09-11,,0,ranging,dual_qmonly,True,,,,,2020
2020-10-08,,0,ranging,dual_qmonly,True,,,,,2020
2020-11-06,0.05580110497237567,0,ranging,dual_qmonly,True,,,,1.012944898443743,2020
2020-12-04,,0,volatile,dual_both,True,,,,,2020
2020-12-31,0.046891456564369216,0,trending,dual_qmonly,True,,,,1.060443360151217,2020
2021-01-29,0.07707452430351776,0,volatile,dual_both,True,,,,1.142176527685696,2021
2021-03-05,0.13091356911797897,0,volatile,dual_both,True,,,,1.2917029334878107,2021
2021-04-01,,0,neutral,dual_qmonly,True,,,,,2021
2021-04-29,-0.010460251046025104,0,trending,dual_qmonly,True,,,,1.2781913965266412,2021
2021-05-28,,0,volatile,dual_both,True,,,,,2021
2021-06-25,,0,trending,dual_qmonly,True,,,,,2021
2021-07-23,,0,ranging,dual_qmonly,True,,,,,2021
2021-08-20,,0,neutral,dual_qmonly,True,,,,,2021
2021-09-17,-0.01712358161936217,0,trending,dual_qmonly,True,,,,1.2563041818230507,2021
2021-10-15,0.13035495716034273,0,neutral,dual_qmonly,True,,,,1.4200696596249538,2021
2021-11-12,,0,neutral,dual_qmonly,True,,,,,2021
2021-12-10,,0,ranging,dual_qmonly,True,,,,,2021
2022-01-07,-0.024972295681738737,0,ranging,dual_qmonly,True,,,,1.3846072601961334,2022
2022-02-11,-0.08882082122129786,0,ranging,dual_qmonly,True,,,,1.2616253062765417,2022
2022-03-11,,0,volatile,dual_both,True,,,,,2022
2022-04-08,,0,ranging,dual_qmonly,True,,,,,2022
2022-05-06,,0,neutral,dual_qmonly,True,,,,,2022
2022-06-02,-0.22387543252595155,0,ranging,dual_qmonly,True,,,,0.9791783951481948,2022
