date,ret,n_stocks,regime,source,in_market,mean_pe,mean_pb,mean_fscore,cum_ret,year
2020-01-03,0.00600064746332889,5,neutral,qm,True,,,7.4,1.006000647463329,2020
2020-01-31,-0.02726407089572641,10,neutral,qm,True,,,6.6,0.9785729744897421,2020
2020-02-27,-0.17201180349677336,8,ranging,qm,True,,,6.625,0.8102468722945596,2020
2020-03-27,0.2320970484223287,2,volatile,qm,True,,,6.0,0.9983027798475504,2020
2020-04-24,0.12396503538954096,4,volatile,qm,True,,,5.5,1.1220574192808292,2020
2020-05-22,0.13279736685959917,3,neutral,qm,True,,,6.0,1.2710636900266006,2020
2020-06-19,0.06725670766485799,5,volatile,qm,True,,,5.8,1.3565512490501355,2020
2020-07-17,0.07207520872633655,1,trending,qm,True,,,8.0,1.4543249634733966,2020
2020-08-14,-0.14664804781797713,1,trending,qm,True,,,7.0,1.2410510466870721,2020
2020-09-11,0.016017627950436597,5,ranging,qm,True,,,6.6,1.2609297406204056,2020
2020-10-08,-0.03398282050688628,6,ranging,qm,True,,,6.5,1.2180797915731076,2020
2020-11-06,0.16591215851047972,7,ranging,qm,True,,,6.857142857142857,1.4201740390309971,2020
2020-12-04,-0.004814407025192563,4,volatile,qm,True,,,6.75,1.4133367431604902,2020
2020-12-31,0.13543180711101485,3,trending,qm,True,,,7.0,1.6047474923431115,2020
2021-01-29,0.0662686183779135,7,volatile,qm,True,,,6.714285714285714,1.7110918915061109,2021
2021-03-05,0.09045939612067969,5,volatile,qm,True,,,6.8,1.865876230718745,2021
2021-04-01,0.006283525919218287,3,neutral,qm,True,,,6.0,1.8776005123765196,2021
2021-04-29,-0.017614301687333207,6,trending,qm,True,,,6.333333333333333,1.844527890503228,2021
2021-05-28,0.04452160258706221,5,volatile,qm,True,,,6.2,1.9266492282049652,2021
2021-06-25,-0.00199434757182653,7,trending,qm,True,,,6.285714285714286,1.9228068199949333,2021
2021-07-23,-0.06098428175302963,5,ranging,qm,True,,,7.0,1.8055458271277154,2021
2021-08-20,0.1042263209993552,9,neutral,qm,True,,,6.555555555555555,1.993731226084975,2021
2021-09-17,-0.052267780159019846,7,trending,qm,True,,,6.857142857142857,1.8895233206637925,2021
2021-10-15,0.1590675643026829,6,neutral,qm,True,,,6.833333333333333,2.190085192974899,2021
2021-11-12,0.05492061228676809,4,neutral,qm,True,,,7.0,2.310366012733265,2021
2021-12-10,-0.0211940299276569,4,ranging,qm,True,,,7.0,2.2614000463155546,2021
2022-01-07,0.003874480598172858,10,ranging,qm,True,,,6.4,2.2701617969197114,2022
2022-02-11,0.024478123819329442,8,ranging,qm,True,,,6.25,2.325731098474624,2022
2022-03-11,0.010070852475250941,8,volatile,qm,True,,,6.375,2.3491531932644647,2022
2022-04-08,-0.08658008658008653,1,ranging,qm,True,,,6.0,2.1457633064017405,2022
2022-05-06,-0.0613510944638509,3,neutral,qm,True,,,5.666666666666667,2.014118379093622,2022
2022-06-02,-0.22938425494282452,3,ranging,qm,True,,,5.0,1.5521113353385823,2022
2022-07-01,-0.0010813733441470408,2,volatile,qm,True,,,5.5,1.5504329235133987,2022
2022-07-29,-0.06386298004142588,1,neutral,qm,True,,,6.0,1.4514176566634929,2022
2022-08-26,-0.06350090674298842,4,ranging,qm,True,,,6.0,1.3592513194025777,2022
2022-09-23,-0.06302500251552652,3,neutral,qm,True,,,6.333333333333333,1.2735845015779974,2022
2022-10-21,0.09737827715355807,1,volatile,qm,True,,,7.0,1.3976039661511357,2022
2022-11-18,0.047306176084099816,1,volatile,qm,True,,,6.0,1.4637192654697175,2022
2022-12-16,-0.05125752187157673,2,ranging,qm,True,,,7.0,1.3886926432060553,2022
2023-01-13,0.15036522911629024,4,ranging,qm,True,,,5.25,1.5975037306738407,2023
2023-02-17,0.07011684217013281,5,neutral,qm,True,,,5.0,1.7095156476236968,2023
