signal,horizon,n_obs,pocket_mean,universe_mean,alpha,snr
T1_low52w,60,21232,0.021376066201074632,0.03997406554527048,-0.018597999344195846,-10.121160512616123
T1_low52w,120,20222,0.044398855237153645,0.07102264212135224,-0.0266237868841986,-8.996452949597128
T2_weak_rsi,60,21318,0.026595583717653463,0.03997406554527048,-0.013378481827617014,-7.29539302490477
T2_weak_rsi,120,20301,0.05148488024776227,0.07102264212135224,-0.019537761873589972,-6.61489506932049
T3_weak_rev,60,54861,0.027895979251776983,0.03997406554527048,-0.012078086293493495,-10.565708376484801
T3_weak_rev,120,52590,0.04460364941338908,0.07102264212135224,-0.026418992707963163,-14.396511621081453
T4_low_fscore (baseline),60,30396,0.012221921937822528,0.03997406554527048,-0.02775214360744795,-18.07063374371039
T4_low_fscore (baseline),120,29516,0.02678759993424228,0.07102264212135224,-0.04423504218710997,-18.05862286729574
T1∩T2 (52w_low + weak_rsi),60,8247,0.020457212139888572,0.03997406554527048,-0.019516853405381906,-6.619518937634153
T1∩T2 (52w_low + weak_rsi),120,7836,0.04277783878153132,0.07102264212135224,-0.028244803339820927,-5.941214066492736
T1∩T3 (52w_low + weak_rev),60,16725,0.014316250527443028,0.03997406554527048,-0.02565781501782745,-12.392854891820036
T1∩T3 (52w_low + weak_rev),120,15985,0.03181409572033205,0.07102264212135224,-0.03920854640102019,-11.779490162609346
T2∩T3 (weak_rsi + weak_rev),60,16574,0.016260369908920904,0.03997406554527048,-0.023713695636349574,-11.4020132222984
T2∩T3 (weak_rsi + weak_rev),120,15886,0.0290014584820771,0.07102264212135224,-0.04202118363927514,-12.585341141955798
T1∩T4 (52w_low + low_F),60,10363,0.012227189165482438,0.03997406554527048,-0.027746876379788038,-10.549344622714385
T1∩T4 (52w_low + low_F),120,10055,0.029893544451920773,0.07102264212135224,-0.04112909766943147,-9.800080674764388
T2∩T4 (weak_rsi + low_F),60,9830,0.001484847902024258,0.03997406554527048,-0.03848921764324622,-14.252284202625617
T2∩T4 (weak_rsi + low_F),120,9555,0.010148086490137447,0.07102264212135224,-0.0608745556312148,-14.139712575044186
T3∩T4 (weak_rev + low_F),60,23290,-0.000700856049538285,0.03997406554527048,-0.04067492159480876,-23.183558644064046
T3∩T4 (weak_rev + low_F),120,22694,0.005128208939610882,0.07102264212135224,-0.06589443318174136,-23.58813928551871
T1∩T2∩T3 (3-way no F),60,6511,0.011432040397859704,0.03997406554527048,-0.028542025147410773,-8.60156080484257
T1∩T2∩T3 (3-way no F),120,6213,0.030468130113959817,0.07102264212135224,-0.04055451200739243,-7.595900871558534
T1∩T2∩T4 (52w+rsi+lowF),60,4174,0.010856033195384484,0.03997406554527048,-0.029118032349885994,-7.02597949803949
T1∩T2∩T4 (52w+rsi+lowF),120,4065,0.026070945512020733,0.07102264212135224,-0.044951696609331515,-6.810292962698952
T1∩T3∩T4 (52w+rev+lowF),60,8036,0.005048161635811353,0.03997406554527048,-0.03492590390945913,-11.693277342850413
T1∩T3∩T4 (52w+rev+lowF),120,7818,0.021895949102362356,0.07102264212135224,-0.04912669301898989,-10.321784682170595
T1∩T2∩T3∩T4 (full trap),60,3257,-8.746391306634328e-05,0.03997406554527048,-0.04006152945833682,-8.538961128643907
T1∩T2∩T3∩T4 (full trap),120,3181,0.015192992846935257,0.07102264212135224,-0.055829649274416984,-7.482318069437364
