signal,year,alpha,pocket_mean,univ_mean,n_obs
T4_low_fscore (baseline),2020,-0.06767592547827339,0.13006965532983386,0.19774558080810725,3171
T4_low_fscore (baseline),2021,-0.03686680713277776,-0.0061978510207711356,0.03066895611200663,5201
T4_low_fscore (baseline),2022,-0.028139607316965076,-0.0681163637548148,-0.03997675643784972,4964
T4_low_fscore (baseline),2023,-0.06574930388845301,0.07589223196285366,0.14164153585130668,5092
T4_low_fscore (baseline),2024,-0.020619096761422137,-0.052562564374680806,-0.03194346761325867,6204
T4_low_fscore (baseline),2025,-0.06445951699955288,0.1409155363783358,0.20537505337788867,4884
T3_only (weak_rev),2020,-0.004915740950315939,0.1928298398577913,0.19774558080810725,6974
T3_only (weak_rev),2021,-0.0003857693503537714,0.03028318676165286,0.03066895611200663,12862
T3_only (weak_rev),2022,-0.02621164431172747,-0.06618840074957719,-0.03997675643784972,8858
T3_only (weak_rev),2023,-0.005992966388907617,0.13564856946239906,0.14164153585130668,5117
T3_only (weak_rev),2024,-0.014565212564971286,-0.046508680178229955,-0.03194346761325867,12021
T3_only (weak_rev),2025,-0.048128495272431904,0.15724655810545676,0.20537505337788867,6758
T3 cap T4 (rev+lowF),2020,-0.07200276979625903,0.12574281101184823,0.19774558080810725,2517
T3 cap T4 (rev+lowF),2021,-0.03993694441902124,-0.009267988307014611,0.03066895611200663,5014
T3 cap T4 (rev+lowF),2022,-0.0396464005665987,-0.07962315700444841,-0.03997675643784972,4567
T3 cap T4 (rev+lowF),2023,-0.07921924480809917,0.06242229104320751,0.14164153585130668,2394
T3 cap T4 (rev+lowF),2024,-0.03371766180274313,-0.0656611294160018,-0.03194346761325867,4766
T3 cap T4 (rev+lowF),2025,-0.09667437008085135,0.10870068329703732,0.20537505337788867,3436
T2 cap T4 (rsi+lowF),2020,-0.0890504781742225,0.10869510263388475,0.19774558080810725,998
T2 cap T4 (rsi+lowF),2021,-0.03866132984225806,-0.007992373730251435,0.03066895611200663,1674
T2 cap T4 (rsi+lowF),2022,-0.025858793636976282,-0.065835550074826,-0.03997675643784972,1560
T2 cap T4 (rsi+lowF),2023,-0.08548399362829347,0.05615754222301321,0.14164153585130668,1633
T2 cap T4 (rsi+lowF),2024,-0.043810335008232934,-0.0757538026214916,-0.03194346761325867,2089
T2 cap T4 (rsi+lowF),2025,-0.09849537008498974,0.10687968329289893,0.20537505337788867,1601
T1 cap T2 cap T3 cap T4 (full),2020,-0.10450246599694274,0.09324311481116451,0.19774558080810725,365
T1 cap T2 cap T3 cap T4 (full),2021,-0.020646781695024978,0.010022174416981654,0.03066895611200663,592
T1 cap T2 cap T3 cap T4 (full),2022,0.016155538471109374,-0.023821217966740343,-0.03997675643784972,657
T1 cap T2 cap T3 cap T4 (full),2023,-0.13083065365681085,0.010810882194495833,0.14164153585130668,379
T1 cap T2 cap T3 cap T4 (full),2024,-0.04317152487436467,-0.07511499248762334,-0.03194346761325867,668
T1 cap T2 cap T3 cap T4 (full),2025,-0.07058259776377374,0.13479245561411493,0.20537505337788867,520
