factor,horizon,IC,IR,weeks,Q1,Q2,Q3,Q4,Q5,Q5-Q1
rsi_14,20,-0.008009243920165277,-0.058365849359990264,309,0.00960559231222606,0.010923517242003548,0.010667791034003555,0.014503544574740854,0.016541140765194143,0.006935548452968083
rsi_14,60,0.029581178143260455,0.2247009083788434,309,0.030047438697062907,0.03665347896931917,0.04039709960879534,0.05220065703437553,0.06297382730660077,0.032926388609537866
rsi_14,120,0.031116616629621816,0.2331460399137342,297,0.061218036386852255,0.07237303273998837,0.08233655557385125,0.09121404878879964,0.11048678290299467,0.049268746516142416
rvol_20,20,0.009817359050494513,0.08655610543618932,309,0.01071770250067523,0.010820734968270787,0.011672499345530109,0.01438700937708802,0.014626477103206028,0.003908774602530798
rvol_20,60,0.02288838771917688,0.20828309336684014,309,0.040152354726091924,0.03965566082432922,0.04399085582443399,0.04462611547318521,0.05374824840587074,0.013595893679778814
rvol_20,120,0.024147055470813816,0.22884459444745284,297,0.07295023592510438,0.07873120697085406,0.08753289071578944,0.08494627781992306,0.0934366113879039,0.020486375462799522
low52w_prox,20,-0.026942259840258925,-0.14087526407751713,309,0.005647938191735239,0.006848263207222055,0.013664713141823909,0.014984668883778599,0.021037921676090143,0.015389983484354905
low52w_prox,60,-0.02961304524928003,-0.16463629433770782,309,0.02317562630577828,0.03301855696485118,0.04353211657193688,0.05421917438714787,0.06810619316807245,0.04493056686229417
low52w_prox,120,-0.05302245884193197,-0.3140891104495924,297,0.04779303949940771,0.07292515443617781,0.08736791685491119,0.09916282032718059,0.11059567534009519,0.06280263584068749
trigger_proxy,20,0.017726603305820664,0.12374685746943492,309,0.018749155182084927,0.014498692390134758,0.012803935035618092,0.008523069709897923,0.007524041650155011,-0.011225113531929915
trigger_proxy,60,-0.00729987092881393,-0.05370624292254361,309,0.0668243412139954,0.05387646726348253,0.0444860474153993,0.02936018007178865,0.027387807984813314,-0.039436533229182086
trigger_proxy,120,0.003577044704505248,0.026501399458987013,297,0.11068653090424872,0.09808363559098258,0.08565717220848067,0.0662451893725998,0.056937018181520596,-0.05374951272272813
