factor,horizon,IC,IR,weeks,n_flag,n_nonflag,flag_mean_ret,nonflag_mean_ret,spread
ma_break_5pct,20,-0.002353581995453634,-0.020243287362711304,309,16162,54598,0.013716701426634663,0.010960687388868828,0.002756014037765835
ma_break_5pct,60,-0.02074026381082615,-0.17999573511309142,309,16162,54598,0.02704496614927486,0.043801313877408675,-0.016756347728133815
ma_break_5pct,120,-0.02238223136859407,-0.19326760874146406,297,15529,51845,0.047372333715659104,0.07810655839547723,-0.030734224679818123
rev_yoy_neg2,20,-0.00818748499811286,-0.12829725177944176,271,727,70033,0.00030774978693996383,0.011707298051199069,-0.011399548264259105
rev_yoy_neg2,60,-0.0042501466618879834,-0.0744574501836157,271,727,70033,0.021083086759122797,0.04017016940455867,-0.019087082645435873
rev_yoy_neg2,120,0.008812540598209823,0.1501083747355552,259,679,66695,0.08798527601240265,0.0708499510888607,0.017135324923541945
near_52w_low,20,0.007921424282976739,0.058755086007310546,309,11329,59431,0.004657215604683396,0.012911768991423189,-0.008254553386739793
near_52w_low,60,-0.002921208333777464,-0.0223246648666717,309,11329,59431,0.011114118204173658,0.0454754763145203,-0.03436135811034664
near_52w_low,120,-0.001311954273599029,-0.010138655114118903,297,10832,56542,0.03353633605409566,0.07820405889685583,-0.044667722842760174
trap_any,20,0.00618425543432048,0.050001263671732556,309,21407,49353,0.009422995321729927,0.012530198319503518,-0.003107202997773591
trap_any,60,-0.012761906324990654,-0.10364971304511358,309,21407,49353,0.021138721069541934,0.04814394821080087,-0.027005227141258935
trap_any,120,-0.010290658736619612,-0.08402308932235589,297,20529,46845,0.041698209437612044,0.08387356065192123,-0.04217535121430918
trap_majority,20,-0.0015731844093192092,-0.015857690356318583,293,6602,64158,0.010937262366487267,0.011657363576969058,-0.0007201012104817908
trap_majority,60,-0.009377990194646475,-0.09524630108392858,293,6602,64158,0.01900971028556382,0.04213134403625498,-0.023121633750691158
trap_majority,120,-0.011739640467729417,-0.12441773849461076,281,6316,61058,0.04755976648980811,0.07344970364463885,-0.02588993715483074
trap_all3,20,-0.007987530223466507,-0.11956447490175488,154,209,70551,0.0035827327368970234,0.0116138984191963,-0.008031165682299276
trap_all3,60,-0.010161355364824418,-0.1666263046950479,154,209,70551,0.0015372386247340388,0.04008793064748578,-0.03855069202275174
trap_all3,120,-0.01698032826081232,-0.2631703142286734,143,195,67179,0.011500195520461887,0.07119541749888353,-0.05969522197842164
