factor,col,horizon,IC,IR,weeks,top,bot,spread,winrate,grade
QoQ (MoM),r_qoq_score,20,0.010092449463472203,0.13719564852139948,309,0.009439337332602066,0.011450163100584101,-0.0020108257679820342,0.49838187702265374,B
1m YoY (live),r_1m_score,20,0.03583503964270656,0.4060651168632472,309,0.014511668985934064,0.0034287650201181045,0.011082903965815962,0.5825242718446602,A
3m rolling YoY,r_3m_score,20,0.02292309488070383,0.2661033964625359,309,0.013604115926495299,0.003239074191952058,0.010365041734543242,0.5631067961165048,B
6m rolling YoY,r_6m_score,20,0.004771415884511072,0.0564378721925496,309,0.013372614781249613,0.006450969358417673,0.006921645422831941,0.5469255663430421,C
12m rolling YoY,r_12m_score,20,-0.00023725208244898785,-0.0022631662505378956,309,0.012742025541655714,0.007275032297500737,0.005466993244154978,0.5016181229773463,D
4Q TTM YoY,r_4q_ttm_score,20,-0.013329825271771577,-0.13458306382632562,309,0.010138507285945356,0.018370344521194498,-0.008231837235249147,0.4336569579288026,B(rev)
QoQ (MoM),r_qoq_score,40,0.024488640515658064,0.33270763538238024,309,0.022065990593559077,0.016867254610868382,0.005198735982690697,0.5372168284789643,A
1m YoY (live),r_1m_score,40,0.04045585906374014,0.4513993450940539,309,0.02689091090466792,0.007560129267555273,0.01933078163711265,0.6537216828478964,A
3m rolling YoY,r_3m_score,40,0.024947140617470432,0.2794869159182737,309,0.027685171781310972,0.011168523433480999,0.016516648347829968,0.6051779935275081,B
6m rolling YoY,r_6m_score,40,0.008957024031586443,0.11531784176940721,309,0.03328863619479559,0.014644320727889001,0.0186443154669066,0.5760517799352751,B
12m rolling YoY,r_12m_score,40,-0.0032021587811177847,-0.03479479013374253,309,0.022996260601297995,0.01868311441538212,0.004313146185915873,0.49514563106796117,D
4Q TTM YoY,r_4q_ttm_score,40,-0.02264282930127539,-0.2707349695564641,309,0.020415088626628577,0.03628096999117474,-0.015865881364546166,0.41423948220064727,B(rev)
QoQ (MoM),r_qoq_score,60,0.018677025326395428,0.23416519412346734,309,0.037395110881758724,0.03418149699014381,0.0032136138916149127,0.48220064724919093,B
1m YoY (live),r_1m_score,60,0.04074551543694979,0.49288181125243546,309,0.04255805529052882,0.018129672035091613,0.02442838325543722,0.6213592233009708,A
3m rolling YoY,r_3m_score,60,0.02285107174297308,0.2863977673375043,309,0.04363041495128212,0.023777014015947597,0.019853400935334525,0.598705501618123,B
6m rolling YoY,r_6m_score,60,0.005737034783512062,0.07485397997906838,309,0.05318458075821877,0.030115507952121503,0.02306907280609726,0.5825242718446602,C
12m rolling YoY,r_12m_score,60,-0.004721713459315733,-0.05743793190380352,309,0.037533530433481246,0.03540509869065446,0.0021284317428267767,0.47249190938511326,C
4Q TTM YoY,r_4q_ttm_score,60,-0.026290826033936596,-0.31374295596200663,309,0.030174255758124803,0.056216154011251844,-0.02604189825312705,0.36245954692556637,A(rev)
QoQ (MoM),r_qoq_score,120,0.019120016293631248,0.23155136724669312,297,0.07126148305493589,0.05970889671897904,0.01155258633595686,0.5117845117845118,B
1m YoY (live),r_1m_score,120,0.03444482670670189,0.43681754950878754,297,0.07984897056950688,0.04642044405361753,0.03342852651588933,0.5892255892255892,A
3m rolling YoY,r_3m_score,120,0.0187724134257235,0.24790370243277587,297,0.08282642951840163,0.0545138298490918,0.028312599669309817,0.5824915824915825,B
6m rolling YoY,r_6m_score,120,0.004185155328685434,0.053719962208729106,297,0.09880104370589525,0.061827124552717515,0.03697391915317772,0.5387205387205387,C
12m rolling YoY,r_12m_score,120,-0.02201420096764028,-0.25481507820734217,297,0.05835025049319868,0.0744742582950201,-0.016124007801821393,0.41414141414141414,B(rev)
4Q TTM YoY,r_4q_ttm_score,120,-0.025359966478207006,-0.2653992842163562,297,0.04983473610611194,0.10673152495447667,-0.05689678884836472,0.3771043771043771,B(rev)
