combo,regime,tp1,tp2,tp3,tp_scale_floor,tp_scale_ceil,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp1_trigger_rate,tp2_trigger_rate,tp3_trigger_rate,avg_holding_ret_no_tp,rr_median
baseline,ALL,0.15,0.25,0.4,0.7,1.6,12797,0.0316767574067318,0.16666375989438964,0.19006385927453281,0.4494803469563179,0.46346800031257324,0.29053684457294676,0.14440884582323982,0.05665390325857623,0.02970924200087478,1.2444815702232335
baseline,volatile,0.15,0.25,0.4,0.7,1.6,5349,0.04239348472012709,0.16945266325385935,0.2501789225738921,0.48738081884464385,0.4195176668536175,0.29949523275378576,0.14600859973826882,0.053654888764255004,0.03179208497018295,1.278600269179004
baseline,neutral,0.15,0.25,0.4,0.7,1.6,2900,0.03341084273549478,0.1687620043496279,0.19797609577021147,0.45,0.46827586206896554,0.3027586206896552,0.15275862068965518,0.06620689655172414,0.030876929973384166,1.3100339413496507
baseline,ranging,0.15,0.25,0.4,0.7,1.6,2650,0.021488593944037394,0.16239329299950148,0.13232439312689695,0.4181132075471698,0.49018867924528303,0.2811320754716981,0.13773584905660377,0.05433962264150943,0.024917968357867176,1.1530355951926898
baseline,trending,0.15,0.25,0.4,0.7,1.6,1898,0.013049787608721372,0.15874975825131366,0.08220351169330606,0.3856691253951528,0.5426765015806112,0.25974710221285563,0.13645943097997892,0.05374077976817703,0.02703631941699794,1.1363992766516857
best,ALL,0.3,0.4,0.6,0.9,2.0,12797,0.04197091913429473,0.20141803716721998,0.2083771628627773,0.4390872860826756,0.46346800031257324,0.08548878643432055,0.04297882316167852,0.013909510041415957,0.10624311258041103,1.2444815702232335
best,volatile,0.3,0.4,0.6,0.9,2.0,5349,0.053738906536024096,0.20554090189192073,0.2614511566378236,0.47934193307160217,0.4195176668536175,0.07814544774724247,0.03851187137782763,0.01252570573939054,0.11342035419175221,1.278600269179004
best,neutral,0.3,0.4,0.6,0.9,2.0,2900,0.04506092888196538,0.20591429055275814,0.2188334222020406,0.4362068965517241,0.46827586206896554,0.1006896551724138,0.0503448275862069,0.018620689655172412,0.10430304790892046,1.3100339413496507
best,ranging,0.3,0.4,0.6,0.9,2.0,2650,0.029768236898788946,0.19527181106447966,0.15244513141202617,0.4060377358490566,0.49018867924528303,0.0830188679245283,0.04490566037735849,0.012452830188679246,0.09659231943101378,1.1530355951926898
best,trending,0.3,0.4,0.6,0.9,2.0,1898,0.02112219154946599,0.18814637898985936,0.11226467212852619,0.3761854583772392,0.5426765015806112,0.08640674394099052,0.04162276080084299,0.012644889357218124,0.0977983394009477,1.1363992766516857
