tp1,tp2,tp3,tp_scale_floor,tp_scale_ceil,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp1_trigger_rate,tp2_trigger_rate,tp3_trigger_rate,avg_holding_ret_no_tp,rr_median
0.08,0.18,0.3,0.5,1.2,12797,0.014774266346970558,0.13085092217381283,0.11290914959961458,0.47800265687270455,0.46346800031257324,0.46659373290614986,0.2946002969445964,0.15175431741814488,-0.014401961765961964,1.2444815702232335
0.08,0.18,0.3,0.7,1.2,12797,0.014835357864130483,0.13089538700685316,0.11333751481519944,0.47745565366882864,0.46346800031257324,0.4627647104790185,0.29327186059232635,0.15151988747362663,-0.012159059548589861,1.2444815702232335
0.08,0.18,0.3,0.9,1.2,12797,0.01499817635520147,0.13108198377860253,0.11441828940072642,0.47690865046495273,0.46346800031257324,0.45838868484801126,0.29100570446198326,0.1503477377510354,-0.00961627096090741,1.2444815702232335
0.08,0.18,0.3,0.5,1.4,12797,0.01823199400942855,0.13741188226429052,0.13268134974209964,0.475267640853325,0.46346800031257324,0.45284050949441274,0.26256153786043607,0.1226068609830429,-0.011125973283668161,1.2444815702232335
0.08,0.18,0.3,0.7,1.4,12797,0.01829308552658848,0.13745268792458817,0.13308641542626484,0.4747206376494491,0.46346800031257324,0.4490114870672814,0.261233101508166,0.12237243103852466,-0.009378851625126314,1.2444815702232335
0.08,0.18,0.3,0.9,1.4,12797,0.018455904017659463,0.1376263041186281,0.13410157408391382,0.4741736344455732,0.46346800031257324,0.44463546143627414,0.25896694537782294,0.12120028131593343,-0.007349007285017051,1.2444815702232335
0.08,0.18,0.3,0.5,1.6,12797,0.0207900833413221,0.1426616257839492,0.14573003235507206,0.4737047745565367,0.46346800031257324,0.441978588731734,0.23849339688989607,0.10400875205126202,-0.008935432458064038,1.2444815702232335
0.08,0.18,0.3,0.7,1.6,12797,0.020851174858482025,0.1426998351312359,0.14611912367877614,0.4731577713526608,0.46346800031257324,0.43814956630460267,0.237164960537626,0.10377432210674377,-0.007466457273701634,1.2444815702232335
0.08,0.18,0.3,0.9,1.6,12797,0.021013993349553006,0.14286415962602625,0.14709072873533208,0.4726107681487849,0.46346800031257324,0.43377354067359536,0.23489880440728295,0.10260217238415253,-0.005732614794394631,1.2444815702232335
0.08,0.18,0.3,0.5,1.8,12797,0.02248491307846478,0.14651858031261722,0.1534611721632176,0.472454481519106,0.46346800031257324,0.43252324763616473,0.22122372431038526,0.09275611471438619,-0.005540986038552737,1.2444815702232335
