strategy,neutral,ranging,trending,volatile
atr_trail_2.0,0.023134,0.022403,0.008265,0.029762
atr_trail_2.5,0.032781,0.034534,0.013924,0.036683
atr_trail_2.5_hardstop,0.032809,0.034522,0.013696,0.036381
atr_trail_3.0,0.053138,0.041177,0.033672,0.049415
atr_trail_3.0_breakeven,0.050318,0.042055,0.032997,0.049102
atr_trail_3.0_hardstop,0.051568,0.041355,0.031533,0.048455
atr_trail_3.5,0.063237,0.049310,0.042448,0.060148
atr_trail_3.5_hardstop,0.057919,0.049010,0.037550,0.058005
atr_trail_4.0,0.074235,0.054847,0.047325,0.068489
ema10_trail,0.016093,0.014775,0.002477,0.010560
ema20_trail,0.026565,0.023547,0.009939,0.024962
pct_trail_10,0.042775,0.045456,0.025682,0.050932
pct_trail_12,0.054933,0.048770,0.038735,0.058593
pct_trail_15,0.057350,0.046342,0.046016,0.062724
pct_trail_20,0.070706,0.058741,0.057405,0.077625
pct_trail_5,0.018236,0.023722,0.003828,0.014287
pct_trail_8,0.030104,0.032760,0.014493,0.033246
production_vfg1_vfg2,0.042014,0.036408,0.027119,0.052307
pure_hold_40d,0.081064,0.042375,0.049240,0.082448
pure_hold_60d,0.121713,0.089096,0.086282,0.109608
