strategy,n,mean,std,sharpe,sortino,win_rate,p5,p1,p95,trigger_rate,avg_holding_days_when_triggered,regime
pure_hold_40d,9263,0.067780,0.249873,0.271260,0.790200,0.542805,-0.222222,-0.330128,0.512241,0.000000,,ALL
pure_hold_40d,3392,0.082448,0.249511,0.330440,1.027595,0.571639,-0.211318,-0.300172,0.549634,0.000000,,volatile
pure_hold_40d,2277,0.081064,0.253102,0.320283,1.099986,0.560386,-0.196403,-0.263362,0.520451,0.000000,,neutral
pure_hold_40d,1947,0.042375,0.252138,0.168061,0.415725,0.499230,-0.277151,-0.380087,0.490748,0.000000,,ranging
pure_hold_40d,1647,0.049240,0.239636,0.205478,0.587120,0.510625,-0.221548,-0.331896,0.469262,0.000000,,trending
pure_hold_60d,9263,0.104125,0.347986,0.299222,1.090704,0.558890,-0.257258,-0.364936,0.676543,0.000000,,ALL
pure_hold_60d,3392,0.109608,0.323813,0.338493,1.210673,0.574292,-0.243157,-0.331867,0.676815,0.000000,,volatile
pure_hold_60d,2277,0.121713,0.390987,0.311298,1.336088,0.566535,-0.243672,-0.363196,0.720853,0.000000,,neutral
pure_hold_60d,1947,0.089096,0.370736,0.240321,0.868489,0.530560,-0.277508,-0.388704,0.641948,0.000000,,ranging
pure_hold_60d,1647,0.086282,0.300335,0.287286,0.865553,0.550091,-0.275157,-0.373551,0.638234,0.000000,,trending
production_vfg1_vfg2,9263,0.041956,0.196879,0.213107,0.968445,0.452337,-0.167246,-0.195717,0.426667,0.858793,37.627404,ALL
production_vfg1_vfg2,3392,0.052307,0.199999,0.261535,1.177212,0.473762,-0.163166,-0.189823,0.426667,0.834021,38.732061,volatile
production_vfg1_vfg2,2277,0.042014,0.198994,0.211133,0.983028,0.450593,-0.168624,-0.201157,0.426667,0.870883,37.859808,neutral
production_vfg1_vfg2,1947,0.036408,0.193569,0.188088,0.825557,0.450437,-0.170818,-0.198758,0.426667,0.863380,38.016062,ranging
production_vfg1_vfg2,1647,0.027119,0.190012,0.142721,0.664563,0.412872,-0.167218,-0.195443,0.412688,0.887675,34.727770,trending
pct_trail_5,9263,0.015381,0.120418,0.127731,0.606496,0.384865,-0.086382,-0.107570,0.249175,0.984778,9.755098,ALL
pct_trail_5,3392,0.014287,0.115171,0.124049,0.553427,0.390035,-0.088373,-0.106435,0.238767,0.987028,9.979391,volatile
pct_trail_5,2277,0.018236,0.122085,0.149369,0.716074,0.401405,-0.086593,-0.112783,0.266135,0.983311,9.566324,neutral
pct_trail_5,1947,0.023722,0.125218,0.189448,0.930763,0.407807,-0.081843,-0.101370,0.269975,0.983564,10.313316,ranging
pct_trail_5,1647,0.003828,0.121918,0.031396,0.159106,0.324226,-0.086150,-0.108676,0.217242,0.983607,8.892593,trending
pct_trail_8,9263,0.029037,0.171785,0.169034,0.894880,0.403433,-0.105781,-0.129690,0.356478,0.943971,16.669488,ALL
pct_trail_8,3392,0.033246,0.174817,0.190179,1.010342,0.411851,-0.104493,-0.129715,0.371261,0.941333,17.160664,volatile
pct_trail_8,2277,0.030104,0.170195,0.176881,0.919639,0.407993,-0.106289,-0.130681,0.351835,0.945982,16.086815,neutral
pct_trail_8,1947,0.032760,0.172275,0.190161,1.023841,0.431433,-0.105006,-0.125871,0.365094,0.945557,17.652906,ranging
pct_trail_8,1647,0.014493,0.166226,0.087188,0.460781,0.346691,-0.108683,-0.131710,0.343109,0.944748,15.304627,trending
pct_trail_10,9263,0.043286,0.217881,0.198669,1.115529,0.417251,-0.125244,-0.153301,0.455145,0.882004,20.768543,ALL
pct_trail_10,3392,0.050932,0.221013,0.230449,1.301303,0.431899,-0.125298,-0.154580,0.501866,0.875295,21.620074,volatile
pct_trail_10,2277,0.042775,0.215716,0.198292,1.112321,0.418094,-0.124278,-0.154066,0.443818,0.887132,20.106931,neutral
pct_trail_10,1947,0.045456,0.230978,0.196796,1.141622,0.426810,-0.123546,-0.150409,0.451093,0.891115,21.651873,ranging
pct_trail_10,1647,0.025682,0.196348,0.130796,0.690722,0.374621,-0.127904,-0.153567,0.418902,0.877960,18.884509,trending
pct_trail_12,9263,0.052098,0.248278,0.209838,1.178581,0.432689,-0.143809,-0.171582,0.525359,0.799957,24.152362,ALL
pct_trail_12,3392,0.058593,0.242637,0.241484,1.309568,0.447524,-0.142744,-0.181990,0.541554,0.791863,24.852941,volatile
pct_trail_12,2277,0.054933,0.260079,0.211218,1.247208,0.433026,-0.144659,-0.169885,0.520894,0.801493,23.613699,neutral
pct_trail_12,1947,0.048770,0.257451,0.189435,1.088534,0.427324,-0.142291,-0.166650,0.498598,0.820236,24.939261,ranging
pct_trail_12,1647,0.038735,0.230817,0.167819,0.919026,0.408015,-0.144898,-0.167670,0.482892,0.790528,22.496928,trending
pct_trail_15,9263,0.054989,0.269390,0.204124,1.037236,0.449746,-0.171101,-0.200086,0.558384,0.684551,28.357988,ALL
pct_trail_15,3392,0.062724,0.264706,0.236959,1.173349,0.468750,-0.170106,-0.199091,0.584516,0.681014,29.399567,volatile
pct_trail_15,2277,0.057350,0.278338,0.206045,1.080356,0.444005,-0.168972,-0.202788,0.557794,0.686430,27.601408,neutral
pct_trail_15,1947,0.046342,0.273045,0.169724,0.874230,0.440164,-0.171968,-0.197959,0.523122,0.712378,28.914924,ranging
pct_trail_15,1647,0.046016,0.261352,0.176069,0.895709,0.429872,-0.173699,-0.197824,0.562271,0.656345,26.511563,trending
pct_trail_20,9263,0.068360,0.300146,0.227756,0.970759,0.489258,-0.214286,-0.245979,0.625795,0.453309,32.824720,ALL
pct_trail_20,3392,0.077625,0.298102,0.260397,1.099412,0.506191,-0.212907,-0.253707,0.652451,0.446934,33.556728,volatile
pct_trail_20,2277,0.070706,0.305224,0.231654,1.037101,0.479578,-0.210263,-0.238266,0.616696,0.456302,32.769971,neutral
pct_trail_20,1947,0.058741,0.314630,0.186699,0.818628,0.477144,-0.218362,-0.243578,0.578850,0.481767,32.969083,ranging
pct_trail_20,1647,0.057405,0.278233,0.206320,0.813445,0.482089,-0.218437,-0.246296,0.599833,0.428658,31.141643,trending
atr_trail_2.0,9263,0.022764,0.166016,0.137116,0.664687,0.355716,-0.099349,-0.135180,0.302109,0.991040,10.689651,ALL
atr_trail_2.0,3392,0.029762,0.175957,0.169142,0.896302,0.363797,-0.099324,-0.129660,0.346561,0.987323,11.719618,volatile
atr_trail_2.0,2277,0.023134,0.163599,0.141406,0.668077,0.359245,-0.099479,-0.133880,0.295786,0.992973,10.312251,neutral
atr_trail_2.0,1947,0.022403,0.164278,0.136373,0.668766,0.380586,-0.095920,-0.131899,0.270251,0.994350,9.779959,ranging
atr_trail_2.0,1647,0.008265,0.148421,0.055684,0.229051,0.304797,-0.107342,-0.152644,0.256252,0.992107,10.178703,trending
atr_trail_2.5,9263,0.031226,0.205371,0.152044,0.784328,0.355392,-0.119445,-0.163865,0.395825,0.962431,14.936848,ALL
atr_trail_2.5,3392,0.036683,0.208765,0.175717,0.962897,0.371757,-0.113858,-0.153398,0.430022,0.962854,16.195652,volatile
atr_trail_2.5,2277,0.032781,0.205779,0.159300,0.808502,0.358805,-0.121327,-0.159721,0.386073,0.958718,14.280806,neutral
atr_trail_2.5,1947,0.034534,0.216634,0.159409,0.913976,0.362096,-0.109794,-0.151444,0.394294,0.965074,14.245875,ranging
atr_trail_2.5,1647,0.013924,0.181810,0.076587,0.321006,0.309047,-0.134043,-0.176006,0.347987,0.963570,14.066793,trending
atr_trail_3.0,9263,0.045799,0.258186,0.177389,1.018340,0.362518,-0.136764,-0.185529,0.506702,0.899493,18.713994,ALL
atr_trail_3.0,3392,0.049415,0.243845,0.202648,1.160615,0.383255,-0.131136,-0.172480,0.517484,0.899764,20.148427,volatile
atr_trail_3.0,2277,0.053138,0.285592,0.186062,1.171931,0.360562,-0.140251,-0.184384,0.536623,0.887571,17.718456,neutral
atr_trail_3.0,1947,0.041177,0.267393,0.153994,0.935952,0.357473,-0.131089,-0.174672,0.466127,0.916795,18.217927,ranging
atr_trail_3.0,1647,0.033672,0.234286,0.143721,0.682951,0.328476,-0.151249,-0.214387,0.488489,0.894961,17.709634,trending
atr_trail_3.5,9263,0.055482,0.273951,0.202526,1.091898,0.384001,-0.153521,-0.206265,0.555523,0.817014,21.845798,ALL
atr_trail_3.5,3392,0.060148,0.259549,0.231742,1.223232,0.401828,-0.148495,-0.195553,0.562297,0.806899,22.945561,volatile
atr_trail_3.5,2277,0.063237,0.301289,0.209887,1.252654,0.387352,-0.153907,-0.208416,0.598971,0.807642,21.193583,neutral
atr_trail_3.5,1947,0.049310,0.282953,0.174269,1.001516,0.373395,-0.151137,-0.193951,0.527758,0.841294,21.644078,ranging
atr_trail_3.5,1647,0.042448,0.250723,0.169301,0.765829,0.355191,-0.168151,-0.235027,0.548950,0.822101,20.752585,trending
atr_trail_4.0,9263,0.063271,0.300849,0.210309,1.117800,0.408291,-0.174995,-0.230769,0.582975,0.719421,24.506303,ALL
atr_trail_4.0,3392,0.068489,0.278762,0.245692,1.261024,0.433962,-0.170000,-0.216597,0.597994,0.699587,25.608934,volatile
atr_trail_4.0,2277,0.074235,0.339536,0.218637,1.330748,0.406236,-0.174130,-0.227743,0.624551,0.714976,24.329238,neutral
atr_trail_4.0,1947,0.054847,0.317211,0.172903,0.976166,0.390858,-0.172401,-0.222130,0.545455,0.750899,23.996580,ranging
atr_trail_4.0,1647,0.047325,0.264779,0.178733,0.767437,0.378871,-0.183510,-0.254778,0.562271,0.729205,23.188177,trending
ema10_trail,9263,0.011369,0.110855,0.102555,0.432043,0.359495,-0.073366,-0.103986,0.173561,1.000000,4.101263,ALL
ema10_trail,3392,0.010560,0.111936,0.094337,0.400880,0.342276,-0.078144,-0.102623,0.183018,1.000000,4.326651,volatile
ema10_trail,2277,0.016093,0.115876,0.138881,0.611361,0.385595,-0.072184,-0.107140,0.205354,1.000000,4.010540,neutral
ema10_trail,1947,0.014775,0.106292,0.139005,0.581012,0.401644,-0.068002,-0.099095,0.158166,1.000000,4.000514,ranging
ema10_trail,1647,0.002477,0.106140,0.023337,0.091984,0.309047,-0.074798,-0.115396,0.133001,1.000000,3.881603,trending
ema20_trail,9263,0.022387,0.160436,0.139539,0.687022,0.356904,-0.093251,-0.134494,0.270234,0.995142,8.648839,ALL
ema20_trail,3392,0.024962,0.159672,0.156330,0.797657,0.352005,-0.095543,-0.125025,0.302598,0.993219,9.420006,volatile
ema20_trail,2277,0.026565,0.165701,0.160316,0.810115,0.369785,-0.091474,-0.133165,0.287267,0.995608,8.309660,neutral
ema20_trail,1947,0.023547,0.168239,0.139961,0.748212,0.389831,-0.088020,-0.127304,0.238986,0.996918,7.917053,ranging
ema20_trail,1647,0.009939,0.143678,0.069175,0.279485,0.310261,-0.099188,-0.162478,0.231790,0.996357,8.399756,trending
atr_trail_2.5_hardstop,9263,0.031079,0.205088,0.151539,0.790370,0.354853,-0.119669,-0.158582,0.392072,0.962539,14.885599,ALL
atr_trail_2.5_hardstop,3392,0.036381,0.208401,0.174571,0.961875,0.371167,-0.113858,-0.150938,0.427884,0.962854,16.156461,volatile
atr_trail_2.5_hardstop,2277,0.032809,0.205727,0.159481,0.815733,0.358805,-0.121327,-0.157550,0.386073,0.958718,14.237288,neutral
atr_trail_2.5_hardstop,1947,0.034522,0.216609,0.159375,0.918828,0.361582,-0.110143,-0.150252,0.394294,0.965074,14.188930,ranging
atr_trail_2.5_hardstop,1647,0.013696,0.180985,0.075675,0.325418,0.307832,-0.133247,-0.168235,0.345076,0.964177,13.987406,trending
atr_trail_3.0_hardstop,9263,0.044719,0.256502,0.174343,1.035611,0.359279,-0.136764,-0.171103,0.501039,0.901220,18.464782,ALL
atr_trail_3.0_hardstop,3392,0.048455,0.243431,0.199051,1.158615,0.380307,-0.131768,-0.165198,0.514620,0.901533,19.942446,volatile
atr_trail_3.0_hardstop,2277,0.051568,0.283406,0.181960,1.176670,0.357049,-0.140443,-0.178162,0.535486,0.889328,17.464691,neutral
atr_trail_3.0_hardstop,1947,0.041355,0.267176,0.154784,0.966583,0.356446,-0.129734,-0.167068,0.466127,0.916795,17.989356,ranging
atr_trail_3.0_hardstop,1647,0.031533,0.228650,0.137911,0.702202,0.322404,-0.146089,-0.177798,0.477720,0.898604,17.353378,trending
atr_trail_3.5_hardstop,9263,0.052456,0.270914,0.193625,1.129047,0.374285,-0.148858,-0.180400,0.548860,0.826298,21.143716,ALL
atr_trail_3.5_hardstop,3392,0.058005,0.257754,0.225039,1.272039,0.393573,-0.146087,-0.174385,0.554811,0.814858,22.383864,volatile
atr_trail_3.5_hardstop,2277,0.057919,0.297949,0.194391,1.239711,0.373737,-0.150185,-0.187347,0.577401,0.820817,20.349385,neutral
atr_trail_3.5_hardstop,1947,0.049010,0.282038,0.173769,1.059205,0.369286,-0.147811,-0.173048,0.527758,0.844890,21.045593,ranging
