strategy,n,mean,std,sharpe,sortino,win_rate,p5,p1,p95,trigger_rate,avg_holding_days_when_triggered,regime,dataset
pure_hold_40d,2556,0.039699,0.207531,0.191290,0.460785,0.516432,-0.227031,-0.325750,0.445705,0.000000,,ALL,mixed
pure_hold_40d,930,0.046507,0.203040,0.229053,0.586533,0.536559,-0.215287,-0.287615,0.419540,0.000000,,volatile,mixed
pure_hold_40d,584,0.045902,0.204773,0.224162,0.621165,0.529110,-0.198958,-0.263975,0.478081,0.000000,,neutral,mixed
pure_hold_40d,632,0.039331,0.235169,0.167244,0.376933,0.509494,-0.281083,-0.380705,0.485226,0.000000,,ranging,mixed
pure_hold_40d,410,0.015986,0.171141,0.093409,0.203945,0.463415,-0.214454,-0.298166,0.344363,0.000000,,trending,mixed
pure_hold_60d,2556,0.057962,0.289515,0.200205,0.618129,0.514476,-0.257565,-0.371195,0.514150,0.000000,,ALL,mixed
pure_hold_60d,930,0.048537,0.252821,0.191982,0.542037,0.511828,-0.249194,-0.318608,0.479690,0.000000,,volatile,mixed
pure_hold_60d,584,0.063687,0.299160,0.212885,0.729968,0.505137,-0.241586,-0.372361,0.542733,0.000000,,neutral,mixed
pure_hold_60d,632,0.075902,0.356483,0.212920,0.717489,0.520570,-0.283590,-0.391978,0.586053,0.000000,,ranging,mixed
pure_hold_60d,410,0.043533,0.230725,0.188680,0.480847,0.524390,-0.244641,-0.350351,0.481067,0.000000,,trending,mixed
production_vfg1_vfg2,2556,0.022402,0.167404,0.133820,0.527310,0.420188,-0.157516,-0.185063,0.369085,0.829030,35.651251,ALL,mixed
production_vfg1_vfg2,930,0.025754,0.166385,0.154787,0.574100,0.437634,-0.156865,-0.185776,0.364625,0.786022,36.332421,volatile,mixed
production_vfg1_vfg2,584,0.018460,0.167337,0.110315,0.444445,0.410959,-0.158040,-0.181012,0.362424,0.852740,36.044177,neutral,mixed
production_vfg1_vfg2,632,0.029759,0.176455,0.168646,0.682562,0.433544,-0.162972,-0.185117,0.405951,0.852848,36.794063,ranging,mixed
production_vfg1_vfg2,410,0.009073,0.154014,0.058912,0.252795,0.373171,-0.148042,-0.175604,0.345608,0.856098,31.920228,trending,mixed
