train_start,test_start,best_train_strategy,train_mean,train_sharpe,test_mean_at_best_train,test_sharpe_at_best_train,best_test_strategy,best_test_mean,best_test_sharpe,ph60_test_mean,ph60_test_sharpe
2021-01-08T00:00:00.000000,2021-04-09T00:00:00.000000,production_vfg1_vfg2,0.084894,0.415162,-0.060991,-0.351719,pure_hold_60d,0.182625,0.292037,0.182625,0.292037
2021-02-05T00:00:00.000000,2021-05-07T00:00:00.000000,pure_hold_60d,0.222172,0.327660,0.170431,0.505571,pure_hold_60d,0.170431,0.505571,0.170431,0.505571
2021-03-12T00:00:00.000000,2021-06-04T00:00:00.000000,pure_hold_60d,0.218050,0.335356,0.057890,0.260950,pct_trail_10,0.085787,0.459770,0.057890,0.260950
2021-04-09T00:00:00.000000,2021-07-02T00:00:00.000000,pure_hold_60d,0.138486,0.307788,-0.079584,-0.402907,ema10_trail,0.007361,0.090466,-0.079584,-0.402907
2021-05-07T00:00:00.000000,2021-07-30T00:00:00.000000,pct_trail_12,0.057136,0.218688,-0.048992,-0.586926,pure_hold_60d,-0.002702,-0.011240,-0.002702,-0.011240
2021-06-04T00:00:00.000000,2021-08-27T00:00:00.000000,ema10_trail,0.013272,0.135105,-0.021850,-0.529836,pure_hold_60d,0.029661,0.143038,0.029661,0.143038
2021-07-02T00:00:00.000000,2021-09-24T00:00:00.000000,ema10_trail,-0.004350,-0.069099,0.003333,0.031265,production_vfg1_vfg2,0.078638,0.438202,0.098729,0.431525
2021-07-30T00:00:00.000000,2021-10-22T00:00:00.000000,pure_hold_60d,0.032583,0.142109,0.027852,0.141093,pct_trail_8,0.056837,0.385376,0.027852,0.141093
2021-08-27T00:00:00.000000,2021-11-19T00:00:00.000000,pure_hold_60d,0.046688,0.220162,-0.029136,-0.175543,pct_trail_8,-0.004073,-0.046212,-0.029136,-0.175543
2021-09-24T00:00:00.000000,2021-12-17T00:00:00.000000,pct_trail_8,0.025573,0.181612,-0.054267,-1.072896,ema10_trail,-0.010651,-0.413276,-0.071077,-0.441785
2021-10-22T00:00:00.000000,2022-01-14T00:00:00.000000,ema20_trail,0.001560,0.018372,-0.003163,-0.077146,ema10_trail,0.001558,0.038621,-0.056623,-0.302329
2021-11-19T00:00:00.000000,2022-02-18T00:00:00.000000,ema10_trail,-0.006127,-0.183312,-0.025630,-0.602862,atr_trail_4.0,-0.053682,-0.429077,-0.075199,-0.491414
2021-12-17T00:00:00.000000,2022-03-18T00:00:00.000000,ema10_trail,-0.011934,-0.319743,-0.012715,-0.281306,ema10_trail,-0.012715,-0.281306,-0.156619,-0.904705
2022-01-14T00:00:00.000000,2022-04-15T00:00:00.000000,ema10_trail,-0.012805,-0.290208,-0.033721,-1.075756,pct_trail_8,-0.041462,-0.514905,-0.146833,-0.784373
