version,train_start,test_start,train_n,test_n,train_mean,train_sharpe,test_mean,test_sharpe
V1_current,2021-01-08,2021-04-09,600,200,0.060461548375098935,0.5267458575850309,-0.045993779138969196,-0.40198141858380304
V2_all_one,2021-01-08,2021-04-09,600,200,0.06102573168926076,0.521659202026724,-0.04864384428364077,-0.4060990993040397
V3_trending_only,2021-01-08,2021-04-09,600,200,0.06102573168926076,0.521659202026724,-0.046772247696960055,-0.4014201257042573
V4_volatile_only,2021-01-08,2021-04-09,600,200,0.060461548375098935,0.5267458575850309,-0.04786537572564991,-0.4064843435339538
V1_current,2021-02-05,2021-05-07,600,200,0.030787868551526265,0.24652170136877838,0.04542365278265782,0.3688668880022007
V2_all_one,2021-02-05,2021-05-07,600,200,0.029904513503302404,0.23529097192544157,0.05017341624570988,0.3758828370492359
V3_trending_only,2021-02-05,2021-05-07,600,200,0.030528379032195976,0.24287947949300895,0.05017341624570988,0.3758828370492359
V4_volatile_only,2021-02-05,2021-05-07,600,200,0.03016400302263269,0.23882509752040681,0.04542365278265782,0.3688668880022007
V1_current,2021-03-12,2021-06-04,600,200,0.024658741654727954,0.19376490434638352,0.05398033492761515,0.49358643288941006
V2_all_one,2021-03-12,2021-06-04,600,200,0.025358641094188117,0.19061516985680635,0.06366915783171576,0.5285425212101245
V3_trending_only,2021-03-12,2021-06-04,600,200,0.02598250662308169,0.19725822297839432,0.0617989541651348,0.5128060788836125
V4_volatile_only,2021-03-12,2021-06-04,600,200,0.024034876125834385,0.18687033527627792,0.05585053859419611,0.5103184617556862
V1_current,2021-04-09,2021-07-02,600,200,0.017803402857101264,0.14321938880221916,-0.019220202837058324,-0.16476904238683834
V2_all_one,2021-04-09,2021-07-02,600,200,0.021732909931261625,0.1616932285907118,-0.019256084196052025,-0.161238420294564
V3_trending_only,2021-04-09,2021-07-02,600,200,0.021733374237961546,0.16347567364029805,-0.019220202837058324,-0.16476904238683834
V4_volatile_only,2021-04-09,2021-07-02,600,200,0.01780293855040134,0.14143721674655052,-0.019256084196052025,-0.161238420294564
V1_current,2021-05-07,2021-07-30,600,200,0.02672792829107155,0.22086108788176842,-0.007768656142323831,-0.06733174462933753
V2_all_one,2021-05-07,2021-07-30,600,200,0.031528829960457874,0.24288737978788513,-0.006809058306487727,-0.057696815378113844
V3_trending_only,2021-05-07,2021-07-30,600,200,0.03091738919126212,0.2400001289103537,-0.006809058306487727,-0.057696815378113844
V4_volatile_only,2021-05-07,2021-07-30,600,200,0.027339369060267304,0.22393346709191775,-0.007768656142323831,-0.06733174462933753
V1_current,2021-06-04,2021-08-27,600,200,0.008997158649410997,0.07605751658025554,-0.05894350386149725,-0.609248692985618
V2_all_one,2021-06-04,2021-08-27,600,200,0.012534671776392005,0.10046441840373596,-0.060670509647493195,-0.6266898378077242
V3_trending_only,2021-06-04,2021-08-27,600,200,0.011923231007196252,0.0964294669155457,-0.058771081300065975,-0.6182139415325327
V4_volatile_only,2021-06-04,2021-08-27,600,200,0.009608599418606749,0.08042053951678614,-0.06084293220892447,-0.617946568517453
V1_current,2021-07-02,2021-09-24,600,200,-0.0286441209469598,-0.25544534204574676,0.04327551178463878,0.3554169548211638
V2_all_one,2021-07-02,2021-09-24,600,200,-0.028911884050010977,-0.25307877363080655,0.046738294801382085,0.3622177140913811
V3_trending_only,2021-07-02,2021-09-24,600,200,-0.02826678081453733,-0.2510090134351282,0.046738294801382085,0.3622177140913811
