regime,w_trend,w_body,ic_20d,ir_20d
trending,0.5,0.5,0.0378227309967627,0.773981310574903
trending,0.5,0.7,0.04191570363550707,0.8991015719568544
trending,0.5,1.0,0.04547863531125626,0.9740192734722405
trending,0.5,1.3,0.034142851554216806,0.7264423872723381
trending,0.5,1.5,0.02741489446838571,0.584887846170022
trending,0.7,0.5,0.04534794138003106,0.9379193404936371
trending,0.7,0.7,0.0431452169204869,0.8974895487241387
trending,0.7,1.0,0.04472438747042069,0.9402853932345325
trending,0.7,1.3,0.03149089871505407,0.6800877361981819
trending,0.7,1.5,0.029832744247169557,0.6493255962832029
trending,1.0,0.5,0.04328879911573329,0.8814122259592883
trending,1.0,0.7,0.04352440603329909,0.9096816789054494
trending,1.0,1.0,0.0425136497714212,0.8779238284013032
trending,1.0,1.3,0.027210591248196355,0.5690511420637426
trending,1.0,1.5,0.023695629162623435,0.5020175506988609
trending,1.3,0.5,0.034735733748449946,0.6944483676366877
trending,1.3,0.7,0.03977106109128576,0.8035930299481581
trending,1.3,1.0,0.02773967592285644,0.574373268089204
trending,1.3,1.3,0.02987115701336455,0.6095281457557785
trending,1.3,1.5,0.023516823571746864,0.4889198068133116
trending,1.5,0.5,0.033905436858947,0.6792989854765669
trending,1.5,0.7,0.03568560356395452,0.7244307500115734
trending,1.5,1.0,0.03504480560737444,0.7394787536868974
trending,1.5,1.3,0.026455657143764518,0.5458223151421366
trending,1.5,1.5,0.0198947000127243,0.4137558755017058
trending_BEST,0.5,1.0,0.04547863531125626,
ranging,0.5,0.5,0.02968213540822273,0.6550879502984397
ranging,0.5,0.7,0.033594643793488546,0.7377969019141355
ranging,0.5,1.0,0.02292166815706732,0.5057359889569039
ranging,0.5,1.3,0.019247507412344784,0.41196343855643425
ranging,0.5,1.5,0.017690415954663686,0.37133848540345493
ranging,0.7,0.5,0.02714020102953076,0.602123829830224
ranging,0.7,0.7,0.026771009447507967,0.5942514670050434
ranging,0.7,1.0,0.022016483214972484,0.480790497098474
ranging,0.7,1.3,0.018386562668252428,0.3990993942336991
ranging,0.7,1.5,0.02101677754896541,0.44278469850982166
ranging,1.0,0.5,0.02886272460595296,0.633484176716011
ranging,1.0,0.7,0.024728350965156676,0.5391549858683453
ranging,1.0,1.0,0.01858185356538116,0.4083652124693942
ranging,1.0,1.3,0.015881595236031703,0.3532693039974962
ranging,1.0,1.5,0.021774097743645738,0.4592112545433687
ranging,1.3,0.5,0.03287483110587512,0.7180475342607832
ranging,1.3,0.7,0.028236534316316328,0.6184797001635175
ranging,1.3,1.0,0.025513716951177396,0.5576437249578289
ranging,1.3,1.3,0.01775610687049137,0.3941697834533557
ranging,1.3,1.5,0.015891694307669582,0.34766184048720244
ranging,1.5,0.5,0.04144375114844972,0.9110554313709547
ranging,1.5,0.7,0.03126485829139903,0.6957272859904373
