train_start,train_end,test_start,test_end,version,test_ic_20d,test_ir_20d,test_n_weeks,test_top20_ret,best_weights
2021-01-08,2021-04-01,2021-04-09,2021-04-29,v1_current,0.12073336069307027,9.035018327992976,4,0.009086031982839847,
2021-01-08,2021-04-01,2021-04-09,2021-04-29,v2_flat,0.1228173924159636,9.2705333540023,4,0.009086031982839847,
2021-01-08,2021-04-01,2021-04-09,2021-04-29,v3_trained,0.12786601191010782,7.570072045316306,4,0.002070571697836522,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 0.5, 'momentum': 0.5, 'volume': 1.0}}"
2021-02-05,2021-04-29,2021-05-07,2021-05-28,v1_current,0.2380723378009542,22.092335890924037,4,0.17431238010991948,
2021-02-05,2021-04-29,2021-05-07,2021-05-28,v2_flat,0.24788322728804907,21.225974725109104,4,0.17701352216373967,
2021-02-05,2021-04-29,2021-05-07,2021-05-28,v3_trained,0.23354431170030723,52.68699327351448,4,0.17335563243102609,"{'trending': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}}"
2021-03-12,2021-05-28,2021-06-04,2021-06-25,v1_current,0.11495066603680978,4.376542722575542,4,0.13238540762048215,
2021-03-12,2021-05-28,2021-06-04,2021-06-25,v2_flat,0.10774786213538812,4.091245464352598,4,0.12492170640398723,
2021-03-12,2021-05-28,2021-06-04,2021-06-25,v3_trained,0.1369394964915702,4.916631442865711,4,0.14573898244496464,"{'trending': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.7, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}}"
2021-04-09,2021-06-25,2021-07-02,2021-07-23,v1_current,-0.16460145274748708,-14.764736151702536,4,-0.05581955800398789,
2021-04-09,2021-06-25,2021-07-02,2021-07-23,v2_flat,-0.15315855810845747,-15.113279611195258,4,-0.05446760958850772,
2021-04-09,2021-06-25,2021-07-02,2021-07-23,v3_trained,-0.12452988976749937,-11.145834590071987,4,-0.05447704120918309,"{'trending': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 1.0, 'volume': 1.0}}"
2021-05-07,2021-07-23,2021-07-30,2021-08-20,v1_current,0.1165986749202603,6.1385530969890425,4,0.02333292212938714,
2021-05-07,2021-07-23,2021-07-30,2021-08-20,v2_flat,0.11450305388543501,6.282030067087693,4,0.024352676572236553,
2021-05-07,2021-07-23,2021-07-30,2021-08-20,v3_trained,0.039492925463147865,1.6476373249171596,4,0.016568114533007126,"{'trending': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}}"
2021-06-04,2021-08-20,2021-08-27,2021-09-17,v1_current,0.013397259990885861,0.6926093980546599,4,-0.07190503191663998,
