filter,year,n,mean_20d,win_20d,sharpe_20d,max_dd_20d
F0_baseline,2015,105,-3.63128720482702,26.666666666666668,-0.47206752553429676,-39.86322451160683
F0_baseline,2016,212,1.200925980363677,59.43396226415094,0.19851054513767455,-41.578357244273235
F0_baseline,2017,553,2.5766869202021647,59.85533453887884,0.253680625474164,-56.130219417140246
F0_baseline,2018,480,-0.4413353256085896,48.333333333333336,-0.04629962406461295,-86.72490695766707
F0_baseline,2019,487,2.2903600173353524,58.110882956878854,0.249876897672427,-53.976389777907485
F0_baseline,2020,530,0.1331006856758699,45.09433962264151,0.009813045735057533,-68.23948938442516
F0_baseline,2021,615,2.4376563284158643,54.95934959349593,0.18530967329760387,-109.85462027243578
F0_baseline,2022,383,-1.2071735657304428,44.38642297650131,-0.09947105601485424,-69.46533644686923
F0_baseline,2023,576,2.547174279385654,56.770833333333336,0.23376494386350358,-60.594635061207505
F0_baseline,2024,567,2.739018280896052,55.20282186948854,0.21719705823654764,-93.4579548288297
F0_baseline,2025,415,1.3177374773036137,44.33734939759036,0.07725357092898964,-82.95806330996227
F1_exclude_trending,2015,105,-3.63128720482702,26.666666666666668,-0.47206752553429676,-39.86322451160683
F1_exclude_trending,2016,191,1.337661426515736,61.25654450261781,0.21995312134333245,-30.792948873685845
F1_exclude_trending,2017,424,2.676395049741673,59.43396226415094,0.2420317984692114,-44.18910161452103
F1_exclude_trending,2018,425,-0.17300410805291644,49.411764705882355,-0.01794463243870356,-71.84639020990039
F1_exclude_trending,2019,389,2.619517865480421,60.15424164524421,0.2835442610004236,-48.35054475755089
F1_exclude_trending,2020,503,-0.3148571206085137,43.33996023856859,-0.02321379999779263,-68.23948938442516
F1_exclude_trending,2021,501,3.5313219387656583,60.079840319361274,0.260744184160948,-98.07860077167791
F1_exclude_trending,2022,371,-0.9856288836788302,45.01347708894879,-0.08181261215401568,-65.18168831212515
F1_exclude_trending,2023,427,3.473203170402274,60.421545667447305,0.30309975414169776,-46.67676665411773
F1_exclude_trending,2024,483,3.1309880075536243,57.14285714285714,0.25499031596164595,-49.33517472621154
F1_exclude_trending,2025,364,2.023605537326367,46.15384615384615,0.1137997659151327,-77.5571553248656
F2_only_volatile,2015,29,-0.21702920970965958,55.172413793103445,-0.02441515293777483,-5.456304316457605
F2_only_volatile,2016,57,2.4204649201027286,71.9298245614035,0.42954472809106714,-10.429923828008135
F2_only_volatile,2017,51,4.3457807673356665,82.35294117647058,0.8021063846211749,0.0
F2_only_volatile,2018,164,1.0022325406951784,53.65853658536586,0.09428842925495363,-56.48512934925933
F2_only_volatile,2019,69,4.75442963229098,72.46376811594203,0.5857599616893202,-3.0424930435619446
F2_only_volatile,2020,140,3.9129218235484333,57.85714285714286,0.31292690262629325,-21.017990754076045
F2_only_volatile,2021,221,4.2583999695089405,61.53846153846154,0.357543077757569,-45.353097353300065
F2_only_volatile,2022,218,0.15647311126112004,48.1651376146789,0.013271520762051958,-33.55225326052973
F2_only_volatile,2023,109,2.790315775655428,58.71559633027523,0.27653081796519063,-7.175733324232847
F2_only_volatile,2024,204,3.1560249330152743,55.88235294117647,0.2582263604109894,-15.033693089132406
F2_only_volatile,2025,178,2.060953854012822,45.50561797752809,0.11247662780908162,-31.120716007587834
F3_excl_trend_neutral,2015,60,-3.0885262157993627,33.33333333333333,-0.37168574559689316,-26.133227795775205
F3_excl_trend_neutral,2016,101,1.5287762726650636,65.34653465346535,0.2720968961323201,-30.828684268226002
F3_excl_trend_neutral,2017,230,2.145119541181212,57.391304347826086,0.18795932173045504,-25.136387314605635
F3_excl_trend_neutral,2018,328,0.10848858712151259,50.0,0.010913852553723532,-70.80440468125869
F3_excl_trend_neutral,2019,135,4.255975361460524,69.62962962962963,0.5018712782846548,-8.104281141000369
F3_excl_trend_neutral,2020,296,0.8501922632180032,51.689189189189186,0.057273836526024094,-44.22244044698862
F3_excl_trend_neutral,2021,325,4.405276803522593,62.76923076923077,0.35427559898505157,-66.28942427296154
F3_excl_trend_neutral,2022,313,-0.9492150825976216,45.367412140575084,-0.07866761821730132,-56.46120124317298
F3_excl_trend_neutral,2023,246,3.52344936216109,63.41463414634146,0.3287941197996199,-12.520308626121945
F3_excl_trend_neutral,2024,389,4.174504599301203,60.9254498714653,0.33899203594008553,-22.445446228192935
F3_excl_trend_neutral,2025,289,1.4277229859159812,43.59861591695502,0.07585372235441477,-67.90630731604482
F4_weighted,2015,105,-3.643275484982411,26.666666666666668,-0.4395795977552086,-39.65446506679275
F4_weighted,2016,212,1.332775555552986,59.43396226415094,0.21416944600575138,-41.1184284018473
F4_weighted,2017,553,2.446995089305768,59.85533453887884,0.24590853007696925,-51.984507896106045
F4_weighted,2018,480,-0.25758759335305803,48.333333333333336,-0.02543792067113895,-93.11626587548128
F4_weighted,2019,487,2.3458959052561785,58.110882956878854,0.263456958601232,-56.995104191344126
F4_weighted,2020,530,0.1670539178072634,45.09433962264151,0.011873186690183068,-68.23948938442516
F4_weighted,2021,615,2.9193388298640444,54.95934959349593,0.2156049627910429,-121.92316530172597
F4_weighted,2022,383,-1.0883905589864473,44.38642297650131,-0.08163289200396323,-70.79282073878097
F4_weighted,2023,576,2.663811486752915,56.770833333333336,0.24826170041730236,-52.70983616733924
F4_weighted,2024,567,2.9373663483019756,55.20282186948854,0.22930684584602504,-81.73421783812441
F4_weighted,2025,415,1.677406157316084,44.33734939759036,0.0901103553098999,-84.59123147637672
