period,score,label,horizon,universe,top_n,mean_ret,std_ret,sharpe,win_rate,n_days
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,all,20,0.00368046606683558,0.0186808945019804,3.1275583470459627,0.6199021207177814,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,chip_avail,20,0.0035175236128630618,0.019027450462976152,2.934652562688351,0.6150081566068516,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,20,0.007249056703992445,0.039040210516609455,2.9476072528466335,0.5889070146818923,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,chip_avail,20,0.007156267914717978,0.04004612250445201,2.8367847921740217,0.5921696574225123,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,20,0.013426214883578277,0.05594977252619314,3.80939089047043,0.6117455138662317,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,chip_avail,20,0.013275511536037135,0.05638862004944449,3.7373181348355446,0.6231647634584013,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,20,0.01703196201253811,0.08213841919730559,3.2916875877362783,0.5595432300163132,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,chip_avail,20,0.015666514449236543,0.08300080853374373,2.9963347497051447,0.5530179445350734,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,40,all,20,0.04387520811689728,0.10616278102060525,6.560654588126253,0.6427406199021207,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,40,chip_avail,20,0.03970966468595478,0.10826237624604212,5.8226265327503,0.6378466557911908,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,60,all,20,0.05500415109086053,0.1248115963497974,6.995854990338419,0.6688417618270799,613
IS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,60,chip_avail,20,0.05075916827702224,0.1257829891466331,6.406087353875286,0.6606851549755302,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,all,20,0.0013624481297354722,0.004050185935219636,5.340049543147181,0.6606851549755302,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,chip_avail,20,0.0014255165334585483,0.003973133722310059,5.695598236974531,0.6802610114192496,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,all,20,0.0046571880098352945,0.009659194602478492,7.653906018044816,0.6933115823817292,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,chip_avail,20,0.004052916688436498,0.0092339144454153,6.967582192007726,0.6916802610114192,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),10,all,20,0.00737935752509506,0.013356009869270937,8.770858229936467,0.7177814029363785,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),10,chip_avail,20,0.006588572653019155,0.01274035137431074,8.209377067850047,0.7308319738988581,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),20,all,20,0.01240126198923513,0.021247805233605966,9.26514192109978,0.7161500815660685,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),20,chip_avail,20,0.011397711922323245,0.02018435748554569,8.964024131028605,0.7243066884176182,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),40,all,20,0.02447632407275151,0.03119684267473024,12.454773166769014,0.799347471451876,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),40,chip_avail,20,0.023067658619799047,0.02945528560585981,12.431987016493004,0.8058727569331158,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),60,all,20,0.036484177004170594,0.03700787683737517,15.64986711873363,0.8466557911908646,613
IS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),60,chip_avail,20,0.03464736400196279,0.03570624654797969,15.403743198257596,0.8482871125611745,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),1,all,20,0.0005135498485805285,0.009424204427375595,0.8650439592961968,0.5889070146818923,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),1,chip_avail,20,0.0005656526341056027,0.01002936846970626,0.8953163119766419,0.5921696574225123,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),5,all,20,0.0028446633298507963,0.02228981468903809,2.025931172462763,0.598694942903752,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),5,chip_avail,20,0.0029023486429459525,0.02313012070612708,1.991920273517642,0.5954323001631321,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),10,all,20,0.0057794583886706585,0.03164924424169544,2.8988388144050368,0.5823817292006526,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),10,chip_avail,20,0.00597159686922072,0.033302213275976364,2.8465423811252766,0.5823817292006526,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),20,all,20,0.010951320451297744,0.04591358632525039,3.7863917102866123,0.5905383360522023,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),20,chip_avail,20,0.011897867973136154,0.04732546269481008,3.9909340126431117,0.6052202283849919,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),40,all,20,0.02234416094875896,0.05544166480123495,6.397761683754536,0.6541598694942904,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),40,chip_avail,20,0.023206651294035166,0.05900572717013309,6.243362910475983,0.6476345840130505,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),60,all,20,0.03193541143960287,0.06771618024224693,7.486525942554802,0.6721044045676998,613
IS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),60,chip_avail,20,0.03441303852511874,0.07124772874073682,7.667473201302859,0.6835236541598695,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,1,all,20,0.0011831943430918156,0.004775931141394178,3.9327677369722904,0.6769983686786297,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,1,chip_avail,20,0.0011318578665214744,0.004811567748776894,3.7342686508560905,0.6753670473083198,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,5,all,20,0.004121955895396844,0.011831937659931105,5.530287867216563,0.6851549755301795,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,5,chip_avail,20,0.0040611395011472835,0.011985235728879374,5.379000665136487,0.6851549755301795,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,10,all,20,0.007459346180515611,0.016766235742464643,7.062613900912271,0.7112561174551386,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,10,chip_avail,20,0.007412467320623858,0.016997390535437987,6.922784444191859,0.7161500815660685,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,20,all,20,0.013689360576388615,0.02569334457948942,8.457904788665509,0.7275693311582382,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,20,chip_avail,20,0.013934964686242396,0.02611999793136761,8.469017000339603,0.7259380097879282,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,40,all,20,0.02774540672381508,0.034035184638094386,12.940863461641108,0.7846655791190864,613
IS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,40,chip_avail,20,0.028261477645745058,0.03489709404748608,12.856000232931562,0.7944535073409462,613
