period,score,label,horizon,universe,top_n,direction,mean_ret,std_ret,sharpe,win_rate,n_days
in_sample,combo_all_equal,全 15 指標等權（方向 flipped）,1,all,20,top,0.0008049395428849489,0.012393386979643659,1.031035271187902,0.5722664432341852,2387
in_sample,combo_all_equal,全 15 指標等權（方向 flipped）,1,all,20,bot,0.002773722499814868,0.01576326285279231,2.7932973048589047,0.5965647255969837,2387
in_sample,combo_all_equal,全 15 指標等權（方向 flipped）,5,all,20,top,0.003285847566840603,0.02939106417553439,1.7747303308255638,0.5994972769166318,2387
in_sample,combo_all_equal,全 15 指標等權（方向 flipped）,5,all,20,bot,0.009235096978755691,0.03936678408671531,3.7240181802298014,0.6170925848345203,2387
in_sample,combo_all_equal,全 15 指標等權（方向 flipped）,10,all,20,top,0.004897897337596441,0.04072758905227473,1.9090673330708905,0.5915374947633012,2387
in_sample,combo_all_equal,全 15 指標等權（方向 flipped）,10,all,20,bot,0.015434717143958237,0.05564163836994201,4.40351049852609,0.6204440720569753,2387
in_sample,combo_all_equal,全 15 指標等權（方向 flipped）,20,all,20,top,0.010001788025699175,0.056545866944500776,2.8078703408639383,0.6020108923334729,2387
in_sample,combo_all_equal,全 15 指標等權（方向 flipped）,20,all,20,bot,0.021366190249104366,0.08148493836694032,4.162459492290046,0.6028487641390867,2387
in_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,all,20,top,0.0037046810034638607,0.015865691328601588,3.7067396884196855,0.6199324324324325,2368
in_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,all,20,bot,0.0008613494033213913,0.013470581591843942,1.015063661914387,0.5777027027027027,2368
in_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,20,top,0.007767198187176338,0.03823988725393034,3.2243936260415853,0.5988175675675675,2368
in_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,20,bot,0.0031713134151920967,0.033179337166311995,1.5173009485964695,0.578125,2368
in_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,20,top,0.01441198806455511,0.05276994205587163,4.335483591375427,0.6334459459459459,2368
in_sample,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,20,bot,0.00487558490169102,0.048642188351580636,1.5911601327578715,0.5675675675675675,2368
