feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,57,-0.06184585366462558,-0.06675368143820685,0.3666666666666667,0.35964912280701755,0.17257906221116923,-0.34301717686544586,0.027524586469826987,0.02696961216082991,-0.0005549743089970777,0.4424242424242424,3.175083699229623e-06
dist_52w_high,51,-0.05539954803250149,-0.06904483586989156,0.22549019607843138,0.23137254901960785,0.17257906221116923,-0.07198943824919374,0.03574345424676019,0.008799987137932053,-0.026943467108828136,-0.9999999999999999,0.00045661213814404976
rsi_14,57,-0.012845571798495234,0.0032715159590328675,0.22280701754385965,0.22807017543859648,0.17257906221116923,-0.24473485565272632,0.021051708459081553,0.029306110135535548,0.008254401676453995,0.7939393939393938,0.10526908131244092
rvol_20,57,-0.004166589003167833,-0.0048049165127940306,0.2596491228070176,0.2412280701754386,0.17257906221116923,-0.17227111674749937,0.027026125087555808,0.024913735802477823,-0.0021123892850779848,-0.09090909090909088,0.3498881768782768
turnover_log,57,-0.07760955328349044,-0.09275527362367267,0.1912280701754386,0.1991228070175439,0.17257906221116923,-0.17465076856834855,0.052487975996964885,0.02094546420083265,-0.03154251179613224,-0.9272727272727272,1.6411721947777526e-05
close_to_ma60,56,-0.01265632127230581,0.0014279799701040624,0.42499999999999993,0.39553571428571427,0.17257906221116923,-0.5030131353896486,0.00970559060547605,0.02943768496802937,0.01973209436255332,0.9515151515151514,0.24095069650292517
close_to_ma240,51,-0.01060608801999647,-0.00305067798012148,0.38823529411764707,0.38529411764705884,0.17257906221116923,-0.492125206097305,0.009521043840208044,0.031014333309817007,0.02149328946960896,0.9878787878787878,0.4297939441481048
atr_ratio_20_60,56,-0.01758710899135414,-0.014137753035211257,0.2928571428571428,0.29732142857142857,0.17257906221116923,-0.2953465164063111,0.020387830145521556,0.03225561579825199,0.011867785652730431,0.5636363636363636,0.011713098823851624
foreign_pct,53,-0.0017718286793854073,0.0024017504091690383,0.1679245283018868,0.16132075471698115,0.17257906221116923,-0.12097662486933095,0.019352389840382792,0.02330790712117889,0.003955517280796097,0.1515151515151515,0.7551895069501997
total_pct,53,-0.006111823671255769,-0.0018426452509597872,0.16037735849056606,0.15660377358490565,0.17257906221116923,-0.12737821002070485,0.0214336945480217,0.022378230765399167,0.000944536217377466,0.17575757575757575,0.3084105017869903
foreign_net_pressure,53,-0.0011673722993086784,0.003384469095473335,0.15660377358490565,0.16037735849056603,0.17257906221116923,-0.11392343836563401,0.019991334699439898,0.023161225099188238,0.00316989039974834,0.23636363636363633,0.8388445608850226
