feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,19,-0.044470358154769345,-0.05855064429644855,0.37894736842105264,0.3421052631578948,0.1673989956630906,-0.3545505809390882,0.028063764418394487,0.033850109960444484,0.005786345542049997,0.6969696969696969,0.07249119403649373
dist_52w_high,17,-0.05871674886864696,-0.06735217886655763,0.2235294117647059,0.2176470588235294,0.1673989956630906,-0.0722192367929251,0.04196986511218117,0.011361892347578678,-0.03060797276460249,-0.9515151515151514,0.03387043444525857
rsi_14,19,-0.01063755471814346,-0.0011087668498468099,0.2526315789473685,0.23684210526315788,0.1673989956630906,-0.24851178257301793,0.014244334662693271,0.02984515324110858,0.01560081857841531,0.8060606060606059,0.41144298377862165
rvol_20,19,0.010422144878247342,0.009332979203500716,0.3052631578947369,0.2657894736842106,0.1673989956630906,-0.18302954363570054,0.021817694012711594,0.025298129545568274,0.0034804355328566794,0.7212121212121211,0.19769477723990656
turnover_log,19,-0.0598853015202784,-0.08189216798736422,0.2,0.19736842105263155,0.1673989956630906,-0.1794904412206843,0.04754275528430757,0.027161508099759882,-0.020381247184547688,-0.6484848484848483,0.05841868697071855
close_to_ma60,19,-0.0022303071122484488,0.0005834568487852564,0.48947368421052634,0.4447368421052632,0.1673989956630906,-0.5121934823332799,0.011473497361105964,0.03845246583433794,0.026978968473231973,0.9151515151515152,0.8995882924323944
close_to_ma240,17,0.0036291651052801667,-0.0007840012887896187,0.411764705882353,0.3970588235294117,0.1673989956630906,-0.4784618163935767,0.007436924570786113,0.04568300454334797,0.03824607997256186,0.9393939393939393,0.8856047277754362
atr_ratio_20_60,19,-0.0007064291120714773,-0.009135686368716575,0.331578947368421,0.31315789473684214,0.1673989956630906,-0.28964328167718584,0.020036449892576653,0.03860607547948056,0.01856962558690391,0.6606060606060605,0.9446769665946981
foreign_pct,18,0.0022901961647961567,0.0029952748586293495,0.17777777777777778,0.1611111111111111,0.1673989956630906,-0.11722144068150366,0.02137921142893218,0.026385844790356057,0.005006633361423877,0.34545454545454546,0.8240253924002838
total_pct,18,-0.0005782812859025468,7.534595358334e-05,0.15555555555555556,0.15277777777777776,0.1673989956630906,-0.12543193916658002,0.0232188312200188,0.023843104999525643,0.0006242737795068426,0.19999999999999998,0.9595780073153384
foreign_net_pressure,18,0.004497680211964974,0.004829251307367775,0.1611111111111111,0.16666666666666663,0.1673989956630906,-0.11356834518848642,0.022664834449125256,0.027097310154727237,0.004432475705601981,0.32121212121212117,0.6754376605977974
trust_net_pressure,18,-0.028569891142465758,-0.02729814551954212,0.09444444444444446,0.12777777777777777,0.1673989956630906,-0.14334004474967582,0.017461620744700444,0.008313148567984223,-0.009148472176716221,-0.4666666666666666,0.03999495904973345
total_net_pressure,18,0.0017271447441783013,0.002014976238440864,0.1388888888888889,0.14444444444444446,0.1673989956630906,-0.11660138928443563,0.023641729907390607,0.024432637608486595,0.0007909077010959872,0.33333333333333326,0.8834087089297908
