feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,128,-0.05246376560965452,-0.06386563258657629,0.40234375,0.374609375,0.18935908092382592,-0.36401939927909,0.0008525177380652922,0.031539732623843277,0.030687214885777983,0.9272727272727272,1.3353087919615089e-05
dist_52w_high,114,-0.081667431749953,-0.100076045859632,0.2833333333333334,0.26666666666666666,0.18935908092382592,-0.08197559164154422,0.04350475765337175,-0.002576476751955644,-0.046081234405327395,-0.9878787878787878,4.442657874963905e-09
rsi_14,129,0.009169319299864385,0.01894905124271073,0.3077519379844961,0.2992248062015504,0.18935908092382592,-0.30011774354336906,0.010568431760476017,0.036302690893050577,0.025734259132574558,0.9757575757575757,0.26648677495003015
rvol_20,129,0.007275235069237643,0.0053558798908680426,0.26744186046511625,0.263953488372093,0.18935908092382592,-0.2032801470326834,0.0204786479716403,0.027833009335413838,0.007354361363773539,0.5515151515151515,0.22647777966485955
turnover_log,129,-0.03803844750451529,-0.046318875957296425,0.2387596899224806,0.26317829457364345,0.18935908092382592,-0.1969750879474848,0.02838404976634336,0.035096890727965964,0.006712840961622606,-0.34545454545454546,0.00013989560389412277
close_to_ma60,125,0.004850007957009891,0.009494396555476334,0.42800000000000005,0.4004,0.18935908092382592,-0.5325180121427819,-0.0017594229850343714,0.03392024017779056,0.03567966316282493,0.9999999999999999,0.6426571926467484
close_to_ma240,115,-0.008138613993242911,-0.00035639936279531926,0.4078260869565216,0.4030434782608695,0.18935908092382592,-0.5192997325361158,-0.0059345641027539475,0.032394651904615435,0.03832921600736938,0.9999999999999999,0.5291769597362382
atr_ratio_20_60,125,-0.006448323729857796,-0.00623108598714902,0.3184,0.3132,0.18935908092382592,-0.3413980415665914,0.011054482740332217,0.0279740645176565,0.016919581777324284,0.9515151515151514,0.41795490323758344
foreign_pct,121,0.002194632172786834,0.011296312691688347,0.130327868852459,0.12745901639344262,0.18935908092382592,-0.12380996097411438,0.01725564505774146,0.022601185489690263,0.0053455404319488024,0.5151515151515151,0.6527717054051416
total_pct,121,-5.584390759481276e-05,0.006947803356413115,0.12459016393442622,0.12868852459016394,0.18935908092382592,-0.12731739541263778,0.018274915899525623,0.022925569617278527,0.004650653717752903,0.5878787878787878,0.991487901412138
foreign_net_pressure,121,0.002264007328860308,0.011316097350200708,0.12950819672131147,0.1278688524590164,0.18935908092382592,-0.12196670959559915,0.017130505172165873,0.02266955786913038,0.005539052696964506,0.5151515151515151,0.6426197954340829
trust_net_pressure,121,0.0008510774877484346,-0.0010541174077241535,0.11147540983606558,0.09959016393442624,0.18935908092382592,-0.13517832064023985,,,,,0.8524697190752133
total_net_pressure,121,2.6837418724817444e-05,0.006967961781239273,0.12704918032786885,0.12868852459016392,0.18935908092382592,-0.12562468368978438,0.018267558657986828,0.022918150044859,0.004650591386872172,0.5272727272727272,0.9959090546630576
f_score,129,0.04183774210399331,0.046837015536092395,0.22325581395348837,0.22131782945736433,0.18935908092382592,-0.1425268699168304,,,,,4.26344925902425e-09
z_score,129,-0.0383825963324374,-0.048019219162445274,0.2372093023255814,0.22131782945736433,0.18935908092382592,-0.1499495367512224,0.024470918020774262,0.014906499181094912,-0.00956441883967935,-0.7818181818181817,5.086689542691161e-08
foreign_pct_4w_delta,118,-0.0006545990235610139,-0.00023016585104199241,0.10672268907563025,0.11638655462184876,0.18935908092382592,-0.11201222895425801,0.020032769336491604,0.01802387558851774,-0.0020088937479738646,-0.0303030303030303,0.897029467116015
foreign_pct_8w_delta,116,-0.0005743524618798056,-0.0008915277979908775,0.11551724137931035,0.12844827586206897,0.18935908092382592,-0.11438662018967137,0.01805560315646174,0.01764146542549926,-0.00041413773096247997,0.17575757575757575,0.9026622390917662
total_pct_4w_delta,118,-0.003606628636220648,-0.0025888461424886594,0.11512605042016805,0.1239495798319328,0.18935908092382592,-0.11513459951053619,0.021807730895776877,0.017112989493734444,-0.004694741402042433,-0.17575757575757575,0.47916427339848566
total_pct_8w_delta,116,-0.0023765175218917424,-0.0028830900313082802,0.11293103448275862,0.12284482758620689,0.18935908092382592,-0.1211533245934415,0.019572131587941143,0.01778709591027925,-0.0017850356776618927,0.16363636363636364,0.6097928269371665
trust_pct_4w_delta,118,-0.00667054060733986,-0.008289044459950353,0.09243697478991594,0.09705882352941175,0.18935908092382592,-0.11301369701060979,,,,,0.1627257611986437
foreign_net_5d_4w_sum,120,0.006241715141599853,0.01531102501135175,0.10578512396694216,0.11900826446280992,0.18935908092382592,-0.15298238023033664,0.015195741548532317,0.019675025224303425,0.004479283675771108,0.6606060606060605,0.2293550448800179
foreign_net_5d_52w_z,108,0.006139148035359226,0.015041875698761595,0.3166666666666667,0.2916666666666667,0.18935908092382592,-0.26553242811355887,0.016554381702887165,0.029166456347798114,0.012612074644910948,0.19999999999999998,0.21235410238524044
trust_net_5d_4w_sum,120,-0.0024894714761685512,-0.002517634250569239,0.1090909090909091,0.12190082644628099,0.18935908092382592,-0.1489637632244475,,,,,0.591742052935464
trust_net_5d_52w_z,108,0.003008272218445254,-0.002709456864161645,0.19537037037037036,0.199537037037037,0.18935908092382592,-0.2273215576800735,0.02070533578146165,0.022563317621803837,0.0018579818403421863,0.0303030303030303,0.5933212362980547
vol_compression_60_252,114,-0.011952229394398202,0.001491483647952451,0.2939130434782609,0.3017391304347826,0.18935908092382592,-0.3683700019738657,0.002418007380315522,0.01808276674733,0.015664759367014478,0.8545454545454544,0.24744697141400127
price_stability_60_252,114,-0.013421146354347544,-0.003238756652293035,0.2539130434782609,0.2573913043478261,0.18935908092382592,-0.2809585728594547,0.010145101349536998,0.021011721380866967,0.010866620031329969,0.9272727272727272,0.16772268257839937
vol_price_divergence,125,-0.02057140097226086,-0.02717847225293654,0.172,0.16600000000000004,0.18935908092382592,-0.09762701546980207,0.03202203093014223,0.008268041937240322,-0.023753988992901903,-0.9757575757575757,0.004021657693220314
ma60_slope_20d,123,0.0028553671728678153,0.0103409930072875,0.39674796747967483,0.37073170731707317,0.18935908092382592,-0.5391257756797787,-0.0023801489712759307,0.02897388348864122,0.03135403245991715,0.9272727272727272,0.7899031743002727
body_strength_20d,128,-0.013644724866749895,-0.013808826939591328,0.303125,0.27109375,0.18935908092382592,-0.29348959111752204,0.024814597087424135,0.01823200389956211,-0.006582593187862026,-0.4545454545454545,0.04999296035822702
upper_half_close_20d_pct,128,0.0510366822609533,0.05633794559040157,0.11171875,0.126171875,0.18935908092382592,-0.13361189150642225,,,,,2.496311984859404e-12
stealth_volume_20d,127,0.023886962763776536,0.027549218769370304,0.21496062992125986,0.2192913385826772,0.18935908092382592,-0.18532049030464218,0.017013148483653935,0.022102560736089617,0.0050894122524356815,0.8666666666666665,4.116404061820016e-06
revenue_score,128,0.029313583953296377,0.027099314946303635,0.17031250000000003,0.18359375,0.18935908092382592,-0.10498153441335166,,,,,1.0967789955497471e-09
revenue_score_3m_delta,128,0.015853350554952718,0.01957233202976786,0.16953125000000002,0.1796875,0.18935908092382592,-0.11154280676590639,,,,,2.7173291728458155e-05
revenue_score_6m_delta,128,0.027906444125504987,0.04542972936296953,0.18281250000000002,0.197265625,0.18935908092382592,-0.11529444901088165,,,,,4.055565058469341e-11
roe,129,0.02875444085316078,0.017780529573993824,0.22790697674418606,0.22751937984496126,0.18935908092382592,-0.1522599584809587,0.016026374031352448,0.019837349367742958,0.0038109753363905104,-0.28484848484848485,0.013926753038987034
roa,129,0.013117073802946017,0.0007368279630764968,0.21937984496124036,0.20503875968992247,0.18935908092382592,-0.1478861323387436,0.016914196145183746,0.00862279699138261,-0.008291399153801136,-0.41818181818181815,0.2572277108160717
gross_margin,129,-0.013742439970845233,-0.022585211974135423,0.22635658914728685,0.20077519379844963,0.18935908092382592,-0.14230890900263196,0.02703511462040126,0.015864058707879422,-0.011171055912521839,-0.6606060606060605,0.053116757420356965
op_margin,129,0.024195672717356318,0.013993165964608754,0.2085271317829457,0.1883720930232558,0.18935908092382592,-0.14081052376393596,0.019310350668578724,0.007732125333055516,-0.011578225335523207,-0.29696969696969694,0.01684295734660463
debt_ratio,129,0.04948976999871156,0.05769324154825721,0.03488372093023256,0.043023255813953484,0.18935908092382592,-0.07762135834651743,0.014213191032291258,0.03189923095152185,0.017686039919230588,0.8909090909090909,1.5011775562496691e-13
gross_margin_4q_delta,128,-0.004621673249642952,-0.01821447951935578,0.24573643410852716,0.23837209302325582,0.18935908092382592,-0.15636126782220414,0.010973411039775813,0.012274591443159195,0.0013011804033833813,0.29696969696969694,0.5309335250594878
op_margin_4q_delta,128,-0.022979735649188024,-0.03761437004869033,0.2108527131782946,0.21976744186046512,0.18935908092382592,-0.14821903810445336,0.01438601396008977,0.01065948507535968,-0.0037265288847300893,-0.05454545454545454,0.0023013615760822978
roe_4q_delta,128,-0.026769176199176483,-0.04553209033421873,0.24651162790697673,0.22441860465116276,0.18935908092382592,-0.17734469919806378,0.013998073207050977,0.013755606878742182,-0.0002424663283087953,-0.24848484848484845,0.0009425789159601804
eps_yoy,128,0.008456974735780932,-0.005882496160539278,0.24296875,0.22890625,0.18935908092382592,-0.16366144442212283,0.006160167917162621,0.017784425121472602,0.011624257204309981,0.7333333333333332,0.2395882433514421
