strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,59,0.7056421618656981,0.11471448699661324,0.167873937872567,0.7323525776318796,-0.28921105234686884,0.6101694915254238
top-10 composite_score,57,1.5368213560209893,0.2165043326167646,0.13607496855391923,1.5164802129468993,-0.09021812597154666,0.7192982456140351
top-10 dist_52w_high,51,-0.08524505378503888,-0.02074625938845842,0.35147325942878704,0.0961608361597439,-0.37305467696823036,0.43137254901960786
top-10 low52w_prox_adj,57,1.9146221426694838,0.2525838029254497,0.40282967678822246,0.7600241158181688,-0.5173358654694353,0.5964912280701754
top-10 composite_parsi,57,0.9135669079940973,0.1463982268910864,0.2677216944170367,0.6389446454904193,-0.35506951168147627,0.5087719298245614
top-10 close_to_ma60,56,1.587571558997103,0.22596179461579746,0.4425684601111706,0.6764389561990475,-0.4772888716402436,0.5714285714285714
top-10 close_to_ma240,51,0.058858208801007006,0.013547694451206738,0.3711909732837546,0.2175105963665112,-0.4207553895276914,0.45098039215686275
top-10 stock_rs_in_sector_60d,54,0.5584298728611086,0.1036195676215288,0.432257975139021,0.43271657253817514,-0.4338241790827809,0.5185185185185185
top-10 composite_wf_score,57,0.23747517261566986,0.04587881766362223,0.21633172028440492,0.3136166835517007,-0.36262752579940905,0.543859649122807
top-20 composite_score,57,1.3132170397275904,0.19310078984568912,0.12695462640565677,1.4616318942064668,-0.12683169704527453,0.631578947368421
top-20 dist_52w_high,51,-0.03862205130217,-0.009224872179192212,0.30211314298701586,0.10974907849607476,-0.41594953198682094,0.37254901960784315
top-20 low52w_prox_adj,57,0.9304744850791686,0.14852328213093013,0.3351105354814631,0.5791204898329925,-0.5199349021733739,0.5789473684210527
top-20 composite_parsi,57,1.5566561292756425,0.21850061137233712,0.21808065896293727,1.0170736182497115,-0.19093871786722516,0.5789473684210527
top-20 close_to_ma60,56,0.44814198096640556,0.0825788316342786,0.3904151765811645,0.39134311523580834,-0.4205311112867066,0.5892857142857143
top-20 close_to_ma240,51,0.6523647227097944,0.12543142772833837,0.31915088779057454,0.5272011739551881,-0.33712891524064836,0.5294117647058824
top-20 stock_rs_in_sector_60d,54,0.616593357907361,0.11264272111544682,0.3493735491205505,0.4750147121619177,-0.35482134718047953,0.5370370370370371
top-20 composite_wf_score,57,0.12134950860623905,0.02440523426464103,0.18618756882240883,0.22094638571040054,-0.2902445803988186,0.543859649122807
top-5 composite_parsi (K-grid),57,1.135938029965394,0.1732406014282326,0.28646403452602126,0.6965055919191765,-0.38718638653985393,0.543859649122807
top-15 composite_parsi (K-grid),57,1.5494377727108186,0.21777553673507022,0.24440008435787444,0.9271117536381405,-0.258363346876333,0.5964912280701754
top-25 composite_parsi (K-grid),57,1.840386879857685,0.2457987600931799,0.19883274571735224,1.2102062457861265,-0.15177235180052817,0.5789473684210527
top-30 composite_parsi (K-grid),57,1.7139512937958745,0.2339132902371297,0.18694133451114534,1.2237212205544026,-0.15918650376990984,0.631578947368421
top-50 composite_parsi (K-grid),57,1.1002750124290528,0.169089106453034,0.1899375581204394,0.920139228034717,-0.21429752445430772,0.5789473684210527
top-5 composite_score (K-grid),57,1.5677944880024195,0.21961628060350713,0.1927635750878174,1.1242301504888383,-0.14310101446826873,0.6140350877192983
top-15 composite_score (K-grid),57,1.3729431272846733,0.19952100908908865,0.13641173118577568,1.4084256190071214,-0.11535413130397187,0.6491228070175439
top-25 composite_score (K-grid),57,1.2882272935255679,0.19037564866233336,0.1287152825211177,1.4255649301862683,-0.1450109727369383,0.6140350877192983
top-30 composite_score (K-grid),57,1.294366914983351,0.1910473456100208,0.1256118049172352,1.4625292445327875,-0.15287544762448102,0.631578947368421
top-50 composite_score (K-grid),57,1.1614523479771766,0.1761772412733571,0.1287795064502417,1.3304081759656046,-0.17155111123924127,0.6666666666666666
