strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,59,0.7056421618656981,0.11471448699661324,0.167873937872567,0.7323525776318796,-0.28921105234686884,0.6101694915254238
top-10 composite_score,57,2.305720133077931,0.2862316007410042,0.1755435708081169,1.5314271969848468,-0.13128037105746082,0.7192982456140351
top-10 f_score,57,1.0811191878307351,0.16683617498965453,0.21352806696921547,0.8294140836269169,-0.28817162966870247,0.543859649122807
top-10 composite_parsi,57,3.5421889294707114,0.3752182272398812,0.24189252026435637,1.4488900063871577,-0.13157146530178676,0.6842105263157895
top-10 low52w_prox_adj,57,1.7338693984045266,0.23581429189573133,0.35834332335072583,0.7702278721146318,-0.4360944557088118,0.5964912280701754
top-10 close_to_ma60,56,2.2396527918924556,0.2864488667618472,0.3704027857863673,0.8666491983531872,-0.37477623979283137,0.6071428571428571
top-10 close_to_ma240,51,2.0203561800128194,0.29704445495256415,0.3627546102763104,0.9012685258299227,-0.3115299983466726,0.5686274509803921
top-10 stock_rs_in_sector_60d,54,0.8191612845244398,0.14221841230452692,0.35722164558478625,0.5465627356494512,-0.3466910086928545,0.5185185185185185
top-10 composite_wf_score,57,0.2590661100682057,0.04969432514556993,0.2218484544651096,0.32844957423360926,-0.2982542930900006,0.5263157894736842
top-20 composite_score,57,1.858200329449987,0.24743954768662535,0.15773441402745964,1.490742848093647,-0.15323614565976806,0.7017543859649122
top-20 f_score,57,1.654858594820746,0.22820786037160223,0.1923074787558891,1.1710171933922742,-0.23727530508693495,0.631578947368421
top-20 composite_parsi,57,2.547568557434943,0.3054940735745595,0.18878697589866159,1.5191560290026591,-0.1244275592646441,0.6666666666666666
top-20 low52w_prox_adj,57,1.561730276060294,0.21900933613771056,0.3069042703886448,0.8007587736944055,-0.368236342625085,0.5789473684210527
top-20 close_to_ma60,56,1.0425748590584578,0.16537771886138386,0.3101352958704377,0.6487344952984629,-0.3913312145596295,0.5714285714285714
top-20 close_to_ma240,51,1.4671293208908733,0.23674581810239226,0.33262957538410504,0.8051610184155442,-0.2981701619583509,0.5882352941176471
top-20 stock_rs_in_sector_60d,54,0.8455098479487841,0.14587427728924185,0.31985590408736225,0.5818715794641397,-0.2932790433066872,0.5555555555555556
top-20 composite_wf_score,57,0.1066239203184991,0.02155832925877532,0.21272768878685305,0.20522462019962576,-0.3592540692079903,0.5263157894736842
top-5 composite_parsi (K-grid),57,2.456270950023045,0.29834799560386394,0.2849995253498494,1.0586558236190726,-0.2328607317424113,0.5964912280701754
top-15 composite_parsi (K-grid),57,3.460329302235171,0.3699629625212526,0.20881581181407657,1.6274325654580388,-0.13421473067372092,0.6666666666666666
top-30 composite_parsi (K-grid),57,2.3902540742666507,0.2930872852761026,0.1702368158501441,1.6082759844118553,-0.13614898510356,0.6842105263157895
top-50 composite_parsi (K-grid),57,2.3143120184254338,0.28693467767322867,0.16731547661124752,1.6046165034107653,-0.14237340057782522,0.6842105263157895
