feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,57,-0.06178682092854105,-0.0665959032544817,0.3842105263157895,0.37280701754385964,0.18418032105131832,-0.3460635949339392,0.0070082751071979124,0.0266394684996525,0.019631193392454588,0.6363636363636362,4.335582829646042e-05
dist_52w_high,51,-0.0552835756269005,-0.07232071607316844,0.24313725490196075,0.2196078431372549,0.18418032105131832,-0.08143415102192715,0.031680632780230665,-0.0062219626415692415,-0.037902595421799905,-0.9393939393939393,0.0007092289396313936
rsi_14,57,-0.010610808413321515,0.004856328588363075,0.26666666666666666,0.27631578947368424,0.18418032105131832,-0.27915002290774943,0.012560830089880362,0.026573092468180504,0.014012262378300142,0.8424242424242423,0.25397065751468095
rvol_20,57,0.00024606947572181385,0.00489070869147196,0.2649122807017544,0.23859649122807017,0.18418032105131832,-0.1992540995832572,0.016435699504895415,0.016106539439264073,-0.0003291600656313426,0.07878787878787878,0.9638630954671514
turnover_log,57,-0.03608053806350375,-0.04308384832190537,0.23859649122807017,0.23684210526315788,0.18418032105131832,-0.19621345385050967,0.021516846954381445,0.0277467032183878,0.006229856264006354,-0.309090909090909,0.0023302487760200287
close_to_ma60,56,-0.008952366856034332,0.0026017085000882845,0.4142857142857143,0.39196428571428577,0.18418032105131832,-0.504338201131626,0.0002930044937527683,0.025016482547797612,0.024723478054044845,0.9757575757575757,0.43893920817457843
close_to_ma240,51,-0.02031344542168242,-0.011554351822718741,0.40784313725490196,0.3931372549019607,0.18418032105131832,-0.48222823024675576,-0.003642850939414953,0.030062946888842586,0.03370579782825754,0.8545454545454544,0.1944061750948722
atr_ratio_20_60,56,-0.011732142356303188,-0.006566237005248348,0.32321428571428573,0.3098214285714286,0.18418032105131832,-0.338863258178773,0.010545143615289496,0.02522108595573297,0.014675942340443473,0.8787878787878788,0.1972696454291063
foreign_pct,53,0.006089286076964451,0.0075287898060341675,0.19245283018867926,0.19716981132075473,0.18418032105131832,-0.1455228723374585,0.016640791018312766,0.019854045895300845,0.003213254876988078,0.3939393939393939,0.3428624758164044
total_pct,53,-0.0008532721477417321,-7.693444239551324e-05,0.19999999999999998,0.18962264150943398,0.18418032105131832,-0.1505043809847642,0.017478292865576693,0.018784119775655573,0.0013058269100788798,0.43030303030303024,0.9007114050348952
foreign_net_pressure,53,0.005896935361614704,0.007668337914922582,0.19056603773584907,0.19245283018867926,0.18418032105131832,-0.14105781503483722,0.016426909917319255,0.01961481476925138,0.003187904851932124,0.49090909090909085,0.3591692437287235
trust_net_pressure,53,-0.023421273515163994,-0.018587143357666532,0.11886792452830189,0.12924528301886792,0.18418032105131832,-0.15495288809861904,0.01852351449352191,0.009842331968293368,-0.00868118252522854,-0.8060606060606059,0.0024155196607991186
total_net_pressure,53,-0.0010667274221760955,1.6780818097390977e-05,0.20188679245283017,0.1886792452830189,0.18418032105131832,-0.14508638807035773,0.018086669650347022,0.017254212278497317,-0.0008324573718497055,0.29696969696969694,0.8757422306092598
f_score,57,0.1031960947775692,0.10564197558034284,0.18421052631578946,0.20175438596491227,0.18418032105131832,-0.13970179347131836,-0.005018472490500158,0.05131347249755564,0.0563319449880558,0.9999999999999999,2.0143589550432593e-16
z_score,57,-0.02082842327535744,-0.03467718540113283,0.20526315789473687,0.22105263157894736,0.18418032105131832,-0.16408981200664569,0.019570496886920523,0.01584053938711409,-0.0037299574998064314,-0.4545454545454545,0.005509470793525561
foreign_pct_4w_delta,51,0.008929038873187018,0.008631503534357871,0.19999999999999998,0.18627450980392157,0.18418032105131832,-0.13235679279548895,0.018963511883894106,0.016936881702344666,-0.00202663018154944,0.29696969696969694,0.1486001706374283
foreign_pct_8w_delta,50,0.00251711180249317,-0.002603379121894558,0.17800000000000002,0.175,0.18418032105131832,-0.13070596109553198,0.014582179015213312,0.017268035558502638,0.0026858565432893253,-0.09090909090909088,0.6601889772960938
total_pct_4w_delta,51,0.003511531308988326,0.002547937184013236,0.19411764705882356,0.19019607843137254,0.18418032105131832,-0.13332014176010862,0.019021464081739235,0.01583613081938517,-0.003185333262354064,0.006060606060606061,0.5795336863767009
total_pct_8w_delta,50,-0.0012641722510466252,-0.00784489058561336,0.172,0.171,0.18418032105131832,-0.13476693144747057,0.01654503509344267,0.01616590255606916,-0.00037913253737351105,-0.17575757575757575,0.8223354950825257
trust_pct_4w_delta,51,-0.003839932839722161,-0.006996001249054747,0.11372549019607844,0.11764705882352942,0.18418032105131832,-0.12964651696954324,0.014253160088158705,0.01017863453802266,-0.004074525550136045,-0.23636363636363633,0.6227467149863237
foreign_net_5d_4w_sum,53,0.003989050320986813,0.0035145172197366278,0.17735849056603775,0.1688679245283019,0.18418032105131832,-0.17176379177912132,0.003265603335434802,0.01790788779846271,0.014642284463027908,0.32121212121212117,0.4783216232598384
foreign_net_5d_52w_z,47,0.009194936036587803,0.008988500109371583,0.2851063829787234,0.27234042553191495,0.18418032105131832,-0.25309274655349717,0.010258138588189141,0.017056127918819948,0.0067979893306308065,0.4787878787878787,0.11036346452716966
trust_net_5d_4w_sum,53,-0.019451954674916068,-0.011642796208309105,0.1528301886792453,0.1471698113207547,0.18418032105131832,-0.17418427004376238,0.017041639258526815,0.012908575517570891,-0.004133063740955924,-0.6363636363636362,0.004523718943880154
trust_net_5d_52w_z,47,-0.0187468422733731,-0.01320163225169932,0.1723404255319149,0.19042553191489361,0.18418032105131832,-0.22246083957131121,0.017226895998315443,0.012861561904261277,-0.004365334094054166,-0.6606060606060605,0.03865912319695159
vol_compression_60_252,51,-0.02408685258756402,-0.009154277831654642,0.2568627450980392,0.2784313725490196,0.18418032105131832,-0.30789144587232237,0.003249963728976114,0.011396037630347682,0.008146073901371568,0.5515151515151515,0.023955649500796185
