feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,244,-0.051748997491245896,-0.061627256425393136,0.3737704918032787,0.375,0.1870289036196512,-0.34649470572199687,0.010684809949005118,0.032942393667882854,0.022257583718877736,0.9272727272727272,1.6715256687774252e-14
dist_52w_high,218,-0.06426815202606549,-0.07954910612113573,0.2408256880733945,0.22775229357798168,0.1870289036196512,-0.08424280208249575,0.04092963285832707,-0.0019620490924225084,-0.04289168195074958,-0.9878787878787878,6.585169308211536e-16
rsi_14,244,0.008273354596836084,0.014369430315217698,0.29057377049180333,0.291188524590164,0.1870289036196512,-0.2866462647736765,0.014685812794776239,0.03671577111076523,0.022029958315988994,0.9878787878787878,0.06104109545991332
rvol_20,244,0.001365737253124059,0.0013172252488005346,0.26147540983606554,0.2514344262295082,0.1870289036196512,-0.2030519317672803,0.02110721304668285,0.025286192359362768,0.004178979312679916,0.6484848484848483,0.6635955355719647
turnover_log,244,-0.03395353903663735,-0.04436414081255594,0.23565573770491804,0.23565573770491804,0.1870289036196512,-0.19164239346332765,0.029886198502624806,0.03151102639307462,0.0016248278904498134,-0.3696969696969697,2.1565609008779875e-10
close_to_ma60,238,0.0021951740084398875,0.009594697317910959,0.4151260504201681,0.38865546218487396,0.1870289036196512,-0.5020146876311338,0.00196559656833977,0.036346271318180426,0.034380674749840655,0.9999999999999999,0.6842241710887658
close_to_ma240,219,-0.010776915952588107,-0.005260869695121816,0.4073059360730593,0.3974885844748859,0.1870289036196512,-0.4820879314494561,-0.00017066923743547065,0.038489597349967895,0.03866026658740337,0.9272727272727272,0.12778436547888158
atr_ratio_20_60,238,-0.006547008834693304,-0.004928376425589116,0.3294117647058824,0.31764705882352945,0.1870289036196512,-0.33031568477654016,0.012278217572540025,0.028966735388572886,0.01668851781603286,0.8666666666666665,0.11891021884404553
foreign_pct,231,0.006274602165607018,0.006935729020565995,0.19307359307359312,0.18744588744588747,0.1870289036196512,-0.1458507265159995,0.02024404678242237,0.028204285857313553,0.007960239074891181,0.5030303030303029,0.038266218880793436
total_pct,231,0.0024961361694255486,0.0031135805740998583,0.19610389610389609,0.1896103896103896,0.1870289036196512,-0.15293574938492574,0.02120711987243045,0.027797224309476745,0.006590104437046294,0.4545454545454545,0.4272742981425742
