strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,77,0.7056421618656981,0.08677184239762492,0.1461700155095294,0.6431716869903841,-0.2892110523468687,0.5584415584415584
top-10 composite_score,57,1.1173492336549655,0.17108358598556372,0.10688226940763311,1.5383656409655784,-0.09039342618453783,0.6491228070175439
top-10 composite_parsi,57,1.7270601627797189,0.2351656460922027,0.1516994963630981,1.4758090222540388,-0.11019886646608956,0.6491228070175439
top-10 f_score,55,1.292952284531991,0.19848234327411318,0.18443645914080195,1.078067754715385,-0.15685106779367475,0.6181818181818182
top-10 turnover_log,57,1.1309365028489093,0.17266169382205265,0.2869584445715056,0.6984257637517582,-0.43712773304262686,0.5614035087719298
top-10 close_to_ma60,56,0.6740968789837485,0.11674234166803421,0.4657061334654336,0.45815716581418414,-0.47292449376368195,0.5
top-10 close_to_ma240,51,0.09775420715442351,0.02218761383261869,0.3725497683742924,0.2431689252454239,-0.4648231173812919,0.49019607843137253
top-10 low52w_prox_adj,57,0.8266239031551539,0.13523044258471617,0.3964912078955807,0.514748420533173,-0.6253060211837395,0.5614035087719298
top-10 ma60_slope_20d,55,0.05806413547025602,0.012390523625924743,0.41543561542079405,0.2367183927292862,-0.3368921716249934,0.4909090909090909
top-10 composite_wf_score,57,0.05209124019370592,0.010747840288691135,0.22694122685986984,0.15856674245878555,-0.29081018930028935,0.5087719298245614
top-20 composite_score,57,1.4081920389173228,0.20325042707592922,0.09655355555602656,1.977718533676516,-0.07972890410413624,0.631578947368421
top-20 composite_parsi,57,1.2892167361490148,0.19048399338508015,0.11598268250238856,1.5702129637456024,-0.07928583793854682,0.6842105263157895
top-20 f_score,55,2.0372911245209244,0.2742943707473129,0.18606303438307978,1.4054503470534534,-0.17351270600962332,0.6727272727272727
top-20 turnover_log,57,0.9339936391240109,0.14896374380086708,0.2923221268628838,0.621892668987487,-0.46028192007894075,0.5614035087719298
top-20 close_to_ma60,56,0.9128237886880552,0.14910290058241826,0.3934821261136541,0.5428358361565938,-0.3775793276479761,0.5892857142857143
top-20 close_to_ma240,51,0.8607329161769999,0.15732429024219452,0.3282901103276727,0.6085813835897941,-0.3027378895146259,0.5294117647058824
top-20 low52w_prox_adj,57,1.2374899034587101,0.18476962832105137,0.32055523124527296,0.6882928632550974,-0.4698415817155138,0.5964912280701754
top-20 ma60_slope_20d,55,0.24455704928665,0.048891349770020964,0.3640945330772553,0.3084927928120509,-0.2664696709075973,0.4909090909090909
top-20 composite_wf_score,57,0.4518213372634745,0.08165057176911139,0.20368600834969283,0.4852855330389722,-0.2577001393958702,0.5789473684210527
