feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,57,-0.04271562594010017,-0.05071746686820433,0.37894736842105264,0.39035087719298245,0.19199427925231158,-0.3381157543640982,0.009246867577405254,0.03533298741367164,0.026086119836266387,0.9636363636363635,0.001151113878017218
dist_52w_high,51,-0.07574055720213563,-0.08620793946438136,0.24313725490196078,0.23823529411764702,0.19199427925231158,-0.08441438857500842,0.04386190315667344,-0.0026480712088349104,-0.04650997436550835,-0.9757575757575757,7.213215142673803e-06
rsi_14,57,0.022683428059615075,0.023812206331382535,0.287719298245614,0.29035087719298247,0.19199427925231158,-0.2871213949974563,0.01423685001925907,0.04171489801929144,0.027478048000032368,0.9636363636363635,0.01780100547622873
rvol_20,57,0.010968391350246513,0.00728276588797766,0.25263157894736843,0.2596491228070176,0.19199427925231158,-0.19879725162468853,0.01991101710921888,0.02792039742384658,0.008009380314627699,0.7575757575757575,0.09797984477298281
turnover_log,57,-0.038435187262267065,-0.04492348294505178,0.23684210526315794,0.23421052631578948,0.19199427925231158,-0.18354734627599215,0.03502801886584669,0.03138368484403451,-0.003644334021812176,-0.49090909090909085,0.000404379441363948
close_to_ma60,55,0.018040004535403716,0.021072961001816146,0.42363636363636364,0.39909090909090916,0.19199427925231158,-0.49380607346090677,0.0010187712698954362,0.04544836337737245,0.04442959210747702,0.9757575757575757,0.1015132655977198
close_to_ma240,51,-0.000781214891746582,0.004402129195921784,0.4078431372549019,0.4,0.19199427925231158,-0.47446258731279684,-0.0025088102444315074,0.04082348229431286,0.04333229253874437,0.9515151515151514,0.9564348762031152
atr_ratio_20_60,55,0.0017789516148090535,0.0017249046148581292,0.31090909090909086,0.31909090909090915,0.19199427925231158,-0.3191563235811351,0.010156316539867214,0.03190143648352484,0.02174511994365763,0.8424242424242423,0.8360973960100093
foreign_pct,51,-0.007311117162369059,-0.0061071046220516146,0.18431372549019612,0.17745098039215684,0.19199427925231158,-0.1459073979005283,0.023681528259935202,0.026892323208151866,0.0032107949482166644,-0.18787878787878787,0.24062441846116034
total_pct,51,-0.004398308918770593,-0.005559230896796347,0.19411764705882356,0.18823529411764708,0.19199427925231158,-0.1521425444963866,0.024489091806861228,0.028927652480039614,0.004438560673178386,-0.01818181818181818,0.5027802079786866
foreign_net_pressure,51,-0.006946647379318541,-0.00575280474308068,0.18235294117647063,0.17254901960784316,0.19199427925231158,-0.14363998072802336,0.024257586084493642,0.026827960600993826,0.002570374516500183,-0.06666666666666665,0.26465386975713545
trust_net_pressure,51,0.005103831471966308,0.002425358773539073,0.15098039215686274,0.153921568627451,0.19199427925231158,-0.14436633194550338,0.012925451138489018,0.023057590679202992,0.010132139540713974,0.22424242424242422,0.41862776323974604
total_net_pressure,51,-0.004080160055874357,-0.005210511856050361,0.1862745098039216,0.18529411764705883,0.19199427925231158,-0.14737102130015833,0.025027960738374287,0.028747869393531498,0.0037199086551572107,0.006060606060606061,0.5342104621514456
f_score,57,0.05770720310827179,0.06979142720025779,0.18947368421052632,0.2043859649122807,0.19199427925231158,-0.1368226621960848,0.018415456398079184,0.04698532853179189,0.028569872133712704,0.9151515151515152,6.97347627840308e-10
z_score,57,-0.02318971925344399,-0.035923867925173075,0.22631578947368422,0.24298245614035083,0.19199427925231158,-0.15566268947084996,0.029597564406520154,0.023626863348942602,-0.005970701057577552,-0.8424242424242423,0.0045438394391155035
foreign_pct_4w_delta,50,-0.004925729083194875,-0.0068371760213330746,0.162,0.166,0.19199427925231158,-0.12932135566151554,0.023023017561721343,0.020361016083761077,-0.0026620014779602658,-0.4666666666666666,0.3761891256233717
foreign_pct_8w_delta,49,-0.0005028126400844084,-0.0034585723165502075,0.16326530612244897,0.16938775510204082,0.19199427925231158,-0.1339273913948198,0.029484944815250977,0.022626510426021925,-0.006858434389229052,0.18787878787878787,0.9378859093161447
total_pct_4w_delta,50,-0.004377192327362003,-0.005594047268243815,0.17,0.17700000000000002,0.19199427925231158,-0.13456613218290636,0.02625157032790491,0.020738161279929987,-0.005513409047974923,-0.12727272727272726,0.4543061796961654
total_pct_8w_delta,49,0.0032312721996089386,-0.0029695300711716425,0.1795918367346939,0.17244897959183672,0.19199427925231158,-0.13854878644570748,0.02834744842397248,0.02378983468128058,-0.0045576137426919,0.2121212121212121,0.6159493463820895
trust_pct_4w_delta,50,0.0005513786444087593,-0.0012768456014240236,0.146,0.134,0.19199427925231158,-0.12242492560940736,0.016250247376189023,0.021485474515297205,0.005235227139108182,-0.09090909090909088,0.9317481863880922
foreign_net_5d_4w_sum,51,0.004174668916281515,0.005949686869661812,0.16274509803921566,0.15588235294117647,0.19199427925231158,-0.1672993760470938,0.01220171266607069,0.01734449782996039,0.005142785163889699,0.4424242424242424,0.5054823392163985
foreign_net_5d_52w_z,46,0.0007999371134508389,0.003920929708768863,0.28478260869565214,0.2804347826086957,0.19199427925231158,-0.24671703600401687,0.023818608491504432,0.025916135853820698,0.0020975273623162656,-0.04242424242424241,0.9066956932189967
trust_net_5d_4w_sum,51,-0.007411423916038543,-0.0048432941611274505,0.1607843137254902,0.16666666666666666,0.19199427925231158,-0.17205465573225218,0.02275922283005623,0.021832928653955058,-0.000926294176101173,-0.24848484848484845,0.28967020816450756
trust_net_5d_52w_z,46,0.01644991060320398,0.011030045284536476,0.21739130434782614,0.21413043478260868,0.19199427925231158,-0.22070918023046698,0.01861203774983098,0.029094034414483796,0.010481996664652816,0.35757575757575755,0.011214241399554228
