feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,57,-0.05344317287580312,-0.05996361011081708,0.3543859649122807,0.3570175438596491,0.18224423319816527,-0.35115037822630957,0.006851534457219755,0.028468413656818257,0.021616879199598503,0.7454545454545454,0.0001615350325734394
dist_52w_high,51,-0.07119707342795925,-0.08159563168595924,0.2274509803921569,0.21666666666666665,0.18224423319816527,-0.08675402296144531,0.037586403831042295,-0.008580030069968865,-0.04616643390101116,-0.9515151515151514,2.616301389516068e-05
rsi_14,57,0.00804677529989052,0.015255717578134822,0.25087719298245614,0.2649122807017544,0.18224423319816527,-0.29213707274960354,0.012144444344671755,0.030259583478500746,0.018115139133828992,0.9272727272727272,0.41588138883391446
rvol_20,57,0.00611276598110804,0.007619199416373678,0.23157894736842105,0.23771929824561405,0.18224423319816527,-0.20533388442694972,0.014321446871703484,0.01765796956982881,0.003336522698125328,0.6242424242424242,0.33271174061380715
turnover_log,57,-0.041138986490576096,-0.04717307021975519,0.2298245614035088,0.22982456140350876,0.18224423319816527,-0.19646817980388245,0.025594432451440774,0.0248884825083911,-0.0007059499430496739,-0.5636363636363636,0.00038099503373982546
close_to_ma60,55,0.006663095193438415,0.010809283474286073,0.40181818181818185,0.38545454545454544,0.18224423319816527,-0.505470420553688,-0.004737058698721465,0.03534846171151397,0.040085520410235435,0.9515151515151514,0.5698049191658998
close_to_ma240,51,-0.00854879466287981,-0.0036609207674646906,0.38823529411764707,0.3745098039215686,0.18224423319816527,-0.48319255006202927,-0.006235415697789787,0.03310428368251404,0.03933969938030382,0.9272727272727272,0.5689370538608522
atr_ratio_20_60,55,-0.008543891880397746,-0.00559985936738515,0.3090909090909091,0.31545454545454543,0.18224423319816527,-0.3348820309145988,0.007556089901327626,0.02450123691545242,0.016945147014124796,0.7696969696969697,0.3603824654114599
foreign_pct,51,-0.0045786186989972555,-0.0013834172492119153,0.19019607843137257,0.19019607843137257,0.18224423319816527,-0.14921366190069588,0.01700837236144917,0.02203238945653396,0.005024017095084789,0.006060606060606061,0.4956077252861474
total_pct,51,-0.0025057770170330983,-0.0013347455158557856,0.19803921568627453,0.19607843137254902,0.18224423319816527,-0.15379268110825298,0.017622778597821624,0.02273932880695147,0.005116550209129846,-0.04242424242424241,0.7251508814300363
foreign_net_pressure,51,-0.004302716254245546,-0.0009915355578279407,0.19607843137254904,0.18333333333333335,0.18224423319816527,-0.1458634948022942,0.01743180731062309,0.021684328945632034,0.004252521635008943,0.0303030303030303,0.5216428466183418
trust_net_pressure,51,-0.004058474881150514,-0.010618821520846632,0.14313725490196078,0.1549019607843137,0.18224423319816527,-0.15411387498126483,0.00964671100083019,0.01613985248703906,0.006493141486208871,-0.18787878787878787,0.5536763270863104
total_net_pressure,51,-0.002376012715220706,-0.0011196863435894372,0.19411764705882356,0.19117647058823528,0.18224423319816527,-0.14829418946422615,0.01842874150169849,0.02192390593488617,0.0034951644331876787,0.006060606060606061,0.7388830181646519
f_score,57,0.052774446294997154,0.06797784464084339,0.19649122807017544,0.20175438596491224,0.18224423319816527,-0.14068557066955098,0.012136368976982913,0.038710032598063014,0.0265736636210801,0.8666666666666665,7.16642908915325e-09
z_score,57,-0.026125131497338583,-0.036835134974055245,0.2070175438596491,0.22456140350877188,0.18224423319816527,-0.16354129443975016,0.02395355624776806,0.016690841658925402,-0.007262714588842659,-0.9030303030303028,0.0009830115228500697
foreign_pct_4w_delta,50,-0.00534683789377191,-0.003388759690231752,0.18,0.16999999999999996,0.18224423319816527,-0.12909453698856882,0.021239305997546244,0.016985931891109644,-0.0042533741064366,-0.07878787878787878,0.3576772910375938
foreign_pct_8w_delta,49,0.003367155422440922,0.003321555327498497,0.16326530612244897,0.1795918367346939,0.18224423319816527,-0.13364660886692556,0.023183226526832964,0.020949837902169335,-0.002233388624663629,0.18787878787878787,0.595160674940829
total_pct_4w_delta,50,-0.004659025741239211,-0.0036909126659939373,0.17200000000000004,0.174,0.18224423319816527,-0.1351205961182727,0.023117405460938614,0.018176840806285722,-0.004940564654652892,-0.1515151515151515,0.4409969327090456
total_pct_8w_delta,49,0.004387433068182483,0.0012400323013743314,0.1795918367346939,0.17653061224489794,0.18224423319816527,-0.14032839356870364,0.02256675487447088,0.020882944246068853,-0.0016838106284020257,0.13939393939393938,0.49095945576068145
trust_pct_4w_delta,50,-0.0053113156697334385,-0.012238680785962802,0.14,0.128,0.18224423319816527,-0.12961041399950166,0.011739676991972531,0.015102431288216249,0.003362754296243718,-0.309090909090909,0.44952657509220717
foreign_net_5d_4w_sum,51,0.002912836164259369,0.0034750713853752445,0.15490196078431373,0.1450980392156863,0.18224423319816527,-0.16908211207934706,0.006576876471652085,0.010403903828346318,0.0038270273566942325,0.6484848484848483,0.6285560952807823
foreign_net_5d_52w_z,46,0.006442533854326079,0.008708512024557446,0.30217391304347824,0.2858695652173913,0.18224423319816527,-0.26209151066064745,0.013146681917533553,0.020686424730973662,0.007539742813440109,0.28484848484848485,0.31483500049592494
trust_net_5d_4w_sum,51,-0.0032513170265357615,-0.005442218943032624,0.1627450980392157,0.16568627450980392,0.18224423319816527,-0.17711327136174512,0.01572088447556945,0.015967247121503447,0.00024636264593399723,-0.1515151515151515,0.6526477608289649
trust_net_5d_52w_z,46,0.008688729275945583,0.004428780138852055,0.21086956521739136,0.20978260869565216,0.18224423319816527,-0.22989423252920776,0.015718180362786292,0.024614924134131355,0.008896743771345063,0.07878787878787878,0.30376246781926636
vol_compression_60_252,51,-0.01910276618753865,-0.00642605862025661,0.26274509803921575,0.27549019607843134,0.18224423319816527,-0.3084719853293295,0.0036526934661788766,0.013498997375753056,0.009846303909574179,0.7696969696969697,0.08840388618204814
price_stability_60_252,50,-0.020968743447770125,-0.006110537238293982,0.264,0.24,0.18224423319816527,-0.2720926396757451,0.016920657153141946,0.02005721944679072,0.0031365622936487744,0.11515151515151514,0.053548548191823246
vol_price_divergence,55,-0.0212468137206335,-0.025333502336750805,0.15818181818181817,0.15818181818181817,0.18224423319816527,-0.107412607696531,0.032243245395485995,0.002017465132188318,-0.030225780263297676,-0.9030303030303028,0.017908318898793393
ma60_slope_20d,55,-0.0006380598509889363,0.01182818525828539,0.38909090909090915,0.33636363636363636,0.18224423319816527,-0.5078073492407815,-0.0008628392318118269,0.023419637677801725,0.024282476909613552,0.9030303030303028,0.9563030752618608
body_strength_20d,56,-0.01203797974720478,-0.013998743751790164,0.2928571428571428,0.2669642857142857,0.18224423319816527,-0.2806584536409854,0.024164202892813225,0.01446032015917703,-0.009703882733636196,-0.5030303030303029,0.14467919495364942
upper_half_close_20d_pct,57,0.04356861527669918,0.0465757311450794,0.1631578947368421,0.1675438596491228,0.18224423319816527,-0.17948348774786815,0.008849414377192236,0.0250479477739839,0.016198533396791663,0.8060606060606059,1.0901193060477696e-06
stealth_volume_20d,56,0.02061397652289775,0.024597455331597465,0.22500000000000003,0.225,0.18224423319816527,-0.18365733100344075,0.015954154677313877,0.018610036875378967,0.0026558821980650904,0.709090909090909,0.000734588733574606
revenue_score,57,0.020114980625266708,0.02803584901859661,0.19473684210526315,0.19736842105263158,0.18224423319816527,-0.13525375934232398,0.007612250376377326,0.026329625110740364,0.018717374734363038,0.5878787878787878,0.0017526898187507213
revenue_score_3m_delta,57,0.0046437493361455645,0.016174992900487718,0.21052631578947373,0.2166666666666667,0.18224423319816527,-0.14567906896840893,0.00448873279282275,0.018796291531826083,0.014307558739003332,0.17575757575757575,0.4360498139070482
revenue_score_6m_delta,57,0.021120406922522043,0.03534568407252781,0.2087719298245614,0.20789473684210524,0.18224423319816527,-0.1381057161607953,0.004219658503084716,0.026957892086843294,0.02273823358375858,0.6,0.00022860975923804172
roe,57,0.02542506394712926,0.018745641052746263,0.23508771929824562,0.23596491228070174,0.18224423319816527,-0.17418800722996602,0.015828379945109095,0.014779736883542229,-0.0010486430615668663,-0.29696969696969694,0.07328140618704808
roa,57,0.012052826296651588,0.00351164325897525,0.19999999999999998,0.19649122807017547,0.18224423319816527,-0.14870811768569484,0.01876180750033939,0.005675492529499275,-0.013086314970840115,-0.5636363636363636,0.39897951598676373
gross_margin,57,-0.008230530757919706,-0.01664693309916865,0.25263157894736843,0.21403508771929824,0.18224423319816527,-0.16923031594695614,0.02093106200689858,0.0130980527821243,-0.00783300922477428,-0.6363636363636362,0.2925998725881889
op_margin,57,0.020271608913762493,0.013166548232963964,0.19473684210526312,0.18333333333333335,0.18224423319816527,-0.14100633165503607,0.013304699691737996,0.0063157373432907015,-0.006988962348447295,-0.2727272727272727,0.06181894188788215
debt_ratio,57,0.03107554714792724,0.040434290942922425,0.21754385964912282,0.18421052631578946,0.18224423319816527,-0.14006135813482903,0.015704330691770775,0.024616581264460872,0.008912250572690097,0.9030303030303028,7.2179266471578545e-06
gross_margin_4q_delta,57,0.0008446402157874335,-0.011582696346392788,0.256140350877193,0.2429824561403509,0.18224423319816527,-0.17389758273759828,0.013271844533988235,0.01596793523498946,0.0026960907010012258,0.6606060606060605,0.9051222199701916
op_margin_4q_delta,57,-0.007698948739655701,-0.01842418840179603,0.2526315789473685,0.22280701754385968,0.18224423319816527,-0.18096759569076498,0.012161880249575947,0.013992072012962625,0.0018301917633866786,0.38181818181818183,0.30096648026042017
roe_4q_delta,57,-0.019879390445371098,-0.03441150335179941,0.21403508771929824,0.21842105263157893,0.18224423319816527,-0.17911831330120673,0.01162833976381271,0.014159272447560566,0.002530932683747855,-0.16363636363636364,0.018857774627754554
eps_yoy,57,0.010995165925526601,0.004445498525330225,0.2543859649122807,0.2342105263157895,0.18224423319816527,-0.1757900618167742,8.888344415755941e-05,0.009274753192700463,0.009185869748542904,0.6727272727272726,0.2327315091585045
sector_return_60d,54,-0.0018381268841471535,0.02100961093638828,0.2037037037037037,0.18981481481481483,0.18224423319816527,-0.14078358043235686,,,,,0.8704270800910122
sector_return_120d,51,0.002474404461163439,0.0051604905770671426,0.1588235294117647,0.1549019607843137,0.18224423319816527,-0.12414087950121952,,,,,0.8478557023331044
stock_rs_in_sector_60d,54,0.0016407711659506214,0.011417403724304734,0.4018518518518518,0.36759259259259264,0.18224423319816527,-0.5252598815786914,-0.004257821367842483,0.026305189317551828,0.030563010685394312,0.9272727272727272,0.8832748172443117
