guest,mentions,unique_tickers,unique_videos,mean_return,std_return,hit_rate,directional_n,sentiment_aligned_hit,sharpe_proxy
賴憲政,15,13,2,0.1948484318975991,0.25896496195852037,0.7333333333333333,11,0.7272727272727273,0.7524123357228878
張志誠,49,40,3,0.1631630838060658,0.13878346471489672,0.9183673469387755,37,0.8648648648648649,1.1756665978994847
陳昆仁,16,15,2,0.13689720704389444,0.06147265576650592,0.9375,16,0.9375,2.226961001390222
陳子昂,28,26,2,0.11628187244875066,0.13361842134619353,0.7142857142857143,21,0.6666666666666666,0.8702533024804611
股添樂,7,7,1,0.11360355571761692,0.08184352797169815,0.8571428571428571,7,0.8571428571428571,1.388057901864904
佩真,55,48,3,0.10535045106889142,0.11247912250688233,0.8545454545454545,40,0.65,0.9366222701679174
阿文師,111,77,7,0.10022387930612366,0.12438200759013346,0.7387387387387387,83,0.6626506024096386,0.8057747358153581
林正峰,32,20,8,0.08949312941041596,0.09600628479811855,0.8125,21,0.8095238095238095,0.9321590726961425
陳威良,21,16,4,0.08738860418779733,0.08866273586070657,0.8095238095238095,21,0.8095238095238095,0.9856294568339177
蔡正華,207,137,9,0.08180483715449369,0.17130409754011242,0.4830917874396135,173,0.4624277456647399,0.47754162526870286
游庭皓,131,99,6,0.07865477381100458,0.18125042399946156,0.42748091603053434,118,0.3559322033898305,0.4339563575930627
謝士英,7,7,1,0.0780268839819003,0.03010981039968858,1.0,4,0.75,2.5914106713440916
詹璇依,7,7,1,0.0780268839819003,0.03010981039968858,1.0,4,0.75,2.5914106713440916
林奇芬,68,50,6,0.0660333153334817,0.0900645035849365,0.7647058823529411,53,0.6415094339622641,0.733178030245935
廖婉婷,70,46,7,0.06551788004717465,0.13112970227803944,0.5428571428571428,57,0.6140350877192983,0.4996417967018222
杜金龍,205,75,23,0.06352598797101468,0.13292667540861144,0.6536585365853659,170,0.6529411764705882,0.47790248101623134
黃紫東,112,86,6,0.06192643651871143,0.1656593459537953,0.5178571428571429,93,0.5161290322580645,0.3738179464742277
孟道,9,9,1,0.05996274209781016,0.08532162785003565,0.7777777777777778,6,0.8333333333333334,0.7027847875008061
